"event";"experiment time";"system time";"system time text"
"START";0.000000000000000E0;1.734899288408474E9;"2024-12-22 21:28:08.408 UTC+01:00"
"PAUSE";1.078767375000462E1;1.734899299195855E9;"2024-12-22 21:28:19.196 UTC+01:00"
