"event";"experiment time";"system time";"system time text"
"START";0.000000000000000E0;1.734899048180538E9;"2024-12-22 21:24:08.181 UTC+01:00"
"PAUSE";1.078284116667055E1;1.734899058963193E9;"2024-12-22 21:24:18.963 UTC+01:00"
