"Time (s)";"Peak-Frequency"
5.120713333E0;1.875000000E2
5.163380000E0;1.640625000E2
5.206046667E0;2.109375000E2
5.248713333E0;1.171875000E2
5.291380000E0;7.031250000E1
5.334046667E0;7.031250000E1
5.376713333E0;2.578125000E2
5.419380000E0;1.875000000E2
5.462046667E0;1.875000000E2
5.504713333E0;1.406250000E2
5.547380000E0;1.640625000E2
5.590046667E0;2.109375000E2
5.632713333E0;1.875000000E2
5.675380000E0;1.875000000E2
5.718046667E0;1.875000000E2
5.760713333E0;1.875000000E2
5.803380000E0;1.875000000E2
5.846046667E0;1.875000000E2
5.888713333E0;1.875000000E2
5.931380000E0;1.875000000E2
5.974046667E0;1.875000000E2
6.016713333E0;7.031250000E1
6.059380000E0;3.281250000E2
6.102046667E0;7.031250000E1
6.144713333E0;2.578125000E2
6.187380000E0;9.375000000E1
6.230046667E0;7.031250000E1
6.272713333E0;1.875000000E2
6.315380000E0;1.171875000E2
6.358046667E0;7.031250000E1
6.400713333E0;7.031250000E1
6.443380000E0;1.875000000E2
6.486046667E0;3.281250000E2
6.528713333E0;3.281250000E2
6.571380000E0;7.031250000E1
6.614046667E0;3.281250000E2
6.656713333E0;3.281250000E2
6.699380000E0;3.281250000E2
6.742046667E0;7.031250000E1
6.784713333E0;1.007812500E3
6.827380000E0;7.031250000E1
6.870046667E0;7.031250000E1
6.912713333E0;2.109375000E2
6.955380000E0;1.171875000E2
6.998046667E0;7.031250000E1
7.040713333E0;7.031250000E1
7.083380000E0;7.031250000E1
7.126046667E0;2.109375000E2
7.168713333E0;1.406250000E2
7.211380000E0;7.031250000E1
7.254046667E0;7.031250000E1
7.296713333E0;2.109375000E2
7.339380000E0;2.109375000E2
7.382046667E0;7.031250000E1
7.424713333E0;1.875000000E2
7.467380000E0;1.875000000E2
7.510046667E0;7.031250000E1
7.552713333E0;1.875000000E2
7.595380000E0;5.859375000E2
7.638046667E0;7.031250000E1
7.680713333E0;5.859375000E2
7.723380000E0;5.859375000E2
7.766046667E0;5.859375000E2
7.808713333E0;1.171875000E2
7.851380000E0;1.875000000E2
7.894046667E0;2.109375000E2
7.936713333E0;1.875000000E2
7.979380000E0;1.875000000E2
8.022046667E0;1.171875000E2
8.064713333E0;9.375000000E1
8.107380000E0;1.875000000E2
8.150046667E0;1.875000000E2
8.192713333E0;1.875000000E2
8.235380000E0;3.281250000E2
8.278046667E0;3.281250000E2
8.320713333E0;3.281250000E2
8.363380000E0;3.281250000E2
8.406046667E0;1.312500000E3
8.448713333E0;1.312500000E3
8.491380000E0;1.312500000E3
8.534046667E0;1.875000000E2
8.576713333E0;1.875000000E2
8.619380000E0;2.109375000E2
8.662046667E0;1.640625000E2
8.704713333E0;9.375000000E1
8.747380000E0;9.375000000E1
8.790046667E0;1.007812500E3
8.832713333E0;9.375000000E1
8.875380000E0;1.640625000E2
8.918046667E0;2.109375000E2
8.960713333E0;9.375000000E1
9.003380000E0;9.375000000E1
9.046046667E0;2.578125000E2
9.088713333E0;1.875000000E2
9.131380000E0;9.375000000E1
9.174046667E0;1.875000000E2
9.216713333E0;1.875000000E2
9.259380000E0;1.875000000E2
9.302046667E0;1.875000000E2
9.344713333E0;1.875000000E2
9.387380000E0;7.031250000E1
9.430046667E0;2.109375000E2
9.472713333E0;1.875000000E2
9.515380000E0;2.109375000E2
9.558046667E0;7.031250000E1
9.600713333E0;9.375000000E1
9.643380000E0;1.875000000E2
9.686046667E0;2.109375000E2
9.728713333E0;1.875000000E2
9.771380000E0;9.375000000E1
9.814046667E0;7.031250000E1
9.856713333E0;6.562500000E2
9.899380000E0;6.562500000E2
9.942046667E0;2.812500000E2
9.984713333E0;2.812500000E2
1.002738000E1;2.812500000E2
1.007004667E1;9.375000000E1
1.011271333E1;9.375000000E1
1.015538000E1;9.375000000E1
1.019804667E1;9.375000000E1
1.024071333E1;9.375000000E1
1.028338000E1;9.375000000E1
1.032604667E1;2.109375000E2
1.036871333E1;1.875000000E2
1.041138000E1;9.375000000E1
1.045404667E1;7.031250000E1
1.049671333E1;9.375000000E1
1.053938000E1;9.375000000E1
