"Frequency (Hz)";"Absolute Amplitude (a.u.)"
4.382812500E3;8.224626562E-2
4.406250000E3;9.340745800E-3
4.429687500E3;2.554483355E-2
4.453125000E3;1.897580301E-2
4.476562500E3;7.265124953E-2
4.500000000E3;3.825365020E-2
4.523437500E3;1.366359312E-2
4.546875000E3;4.425006988E-2
4.570312500E3;5.249941577E-2
4.593750000E3;2.094821404E-2
4.617187500E3;5.511353768E-2
4.640625000E3;3.953649337E-2
4.664062500E3;2.381022123E-2
4.687500000E3;3.440843075E-2
4.710937500E3;1.192125759E-2
4.734375000E3;2.572099942E-2
4.757812500E3;2.114073746E-2
4.781250000E3;1.736035561E-2
4.804687500E3;3.302751385E-2
4.828125000E3;2.565942891E-2
4.851562500E3;2.746619722E-2
4.875000000E3;2.395116750E-2
4.898437500E3;1.549937541E-2
4.921875000E3;2.813237518E-2
4.945312500E3;1.334035881E-2
4.968750000E3;2.366818363E-2
4.992187500E3;2.327784269E-2
5.015625000E3;9.976008735E-3
5.039062500E3;2.411287202E-2
5.062500000E3;5.472741808E-3
5.085937500E3;8.338045058E-3
5.109375000E3;1.600787532E-3
5.132812500E3;2.208816805E-3
5.156250000E3;1.128899091E-2
5.179687500E3;2.021814910E-2
5.203125000E3;2.338334792E-2
5.226562500E3;2.300767166E-2
5.250000000E3;3.937033620E-2
5.273437500E3;1.648738673E-2
5.296875000E3;1.342607220E-2
5.320312500E3;3.226717436E-2
5.343750000E3;3.041793836E-3
5.367187500E3;4.062997609E-2
5.390625000E3;1.840007779E-2
5.414062500E3;2.958610761E-3
5.437500000E3;1.068261434E-2
5.460937500E3;6.145914605E-2
5.484375000E3;3.030932863E-2
5.507812500E3;3.992378480E-2
5.531250000E3;4.378989454E-2
5.554687500E3;1.110320783E-2
5.578125000E3;1.145054490E-2
5.601562500E3;3.152978445E-2
5.625000000E3;5.464974517E-2
5.648437500E3;3.578123322E-2
5.671875000E3;4.486871427E-2
5.695312500E3;4.061604883E-2
5.718750000E3;1.272358708E-2
5.742187500E3;3.754311788E-2
5.765625000E3;4.564901394E-2
5.789062500E3;5.433713200E-2
5.812500000E3;7.077772175E-3
5.835937500E3;4.201271797E-2
5.859375000E3;2.813943902E-2
5.882812500E3;1.093978331E-2
5.906250000E3;2.023727692E-2
5.929687500E3;3.422084237E-2
5.953125000E3;1.727693572E-2
5.976562500E3;5.075600566E-2
6.000000000E3;1.862259983E-2
6.023437500E3;1.429652269E-2
6.046875000E3;2.047906064E-2
6.070312500E3;3.255946357E-2
6.093750000E3;4.332610953E-2
6.117187500E3;1.801099957E-2
6.140625000E3;2.025437067E-2
6.164062500E3;1.068221900E-2
6.187500000E3;1.210012567E-2
6.210937500E3;5.911346317E-3
6.234375000E3;1.708540276E-2
6.257812500E3;1.304209699E-2
6.281250000E3;9.313152549E-3
6.304687500E3;1.835507287E-2
6.328125000E3;1.034327700E-2
6.351562500E3;1.351139440E-3
6.375000000E3;1.026845168E-2
6.398437500E3;1.378894003E-2
6.421875000E3;7.951190897E-3
6.445312500E3;2.279704310E-2
6.468750000E3;1.732098929E-2
6.492187500E3;1.565721824E-2
6.515625000E3;1.448441956E-2
6.539062500E3;1.609802345E-2
6.562500000E3;3.691796472E-2
6.585937500E3;5.483268071E-2
6.609375000E3;2.950621881E-2
6.632812500E3;2.603169024E-2
6.656250000E3;3.588171320E-2
6.679687500E3;2.151031866E-2
6.703125000E3;2.301784325E-2
6.726562500E3;3.475413818E-2
6.750000000E3;2.729310174E-2
6.773437500E3;2.057673546E-2
6.796875000E3;1.633264579E-2
6.820312500E3;1.568508855E-2
6.843750000E3;1.379171873E-2
6.867187500E3;2.975683235E-2
6.890625000E3;8.790175232E-3
6.914062500E3;1.022903762E-2
6.937500000E3;5.969832123E-3
6.960937500E3;2.679813364E-2
6.984375000E3;6.638674366E-3
7.007812500E3;1.718754165E-2
7.031250000E3;2.125423764E-2
7.054687500E3;1.479501283E-2
7.078125000E3;1.805361476E-2
7.101562500E3;1.536956230E-2
7.125000000E3;8.704160229E-3
7.148437500E3;7.009603702E-3
7.171875000E3;8.156398005E-3
7.195312500E3;3.145617338E-2
7.218750000E3;9.319172641E-3
7.242187500E3;3.346532543E-2
7.265625000E3;9.517099897E-4
7.289062500E3;8.042809125E-3
7.312500000E3;2.793416039E-3
7.335937500E3;2.501326786E-2
7.359375000E3;4.240703242E-3
7.382812500E3;1.061255813E-2
7.406250000E3;9.526664272E-3
7.429687500E3;1.126345577E-2
7.453125000E3;2.547137302E-2
7.476562500E3;2.424653803E-2
7.500000000E3;4.709580299E-3
7.523437500E3;2.603202056E-2
7.546875000E3;4.355116428E-2
7.570312500E3;1.123691326E-2
7.593750000E3;1.502392866E-2
7.617187500E3;1.832392359E-2
7.640625000E3;7.843481367E-3
7.664062500E3;1.292988541E-2
7.687500000E3;1.964124614E-2
7.710937500E3;2.899751369E-2
7.734375000E3;4.282670085E-2
7.757812500E3;4.742706270E-2
7.781250000E3;3.319956945E-3
7.804687500E3;1.337071591E-2
7.828125000E3;3.001188563E-2
7.851562500E3;2.204628461E-3
7.875000000E3;1.494956472E-2
7.898437500E3;1.698687381E-2
7.921875000E3;1.117720441E-2
7.945312500E3;2.203292824E-2
7.968750000E3;4.090734118E-3
7.992187500E3;1.461662018E-2
8.015625000E3;5.983983346E-2
8.039062500E3;2.258767501E-2
8.062500000E3;3.019747181E-2
8.085937500E3;2.941724162E-2
8.109375000E3;2.885634760E-2
8.132812500E3;1.828087960E-2
8.156250000E3;1.192948012E-2
8.179687500E3;1.722094196E-2
8.203125000E3;2.169903024E-2
8.226562500E3;1.667486742E-2
8.250000000E3;1.756952444E-2
8.273437500E3;9.994717414E-3
8.296875000E3;2.881371986E-2
8.320312500E3;7.190904798E-3
8.343750000E3;1.094467194E-2
8.367187500E3;1.551200154E-2
8.390625000E3;2.641373864E-2
8.414062500E3;7.374982975E-2
8.437500000E3;1.355982733E-2
8.460937500E3;1.961986382E-2
8.484375000E3;1.614828175E-2
8.507812500E3;7.512644628E-3
8.531250000E3;1.282734022E-2
8.554687500E3;3.840135416E-2
8.578125000E3;3.540395400E-2
8.601562500E3;1.923415694E-2
8.625000000E3;2.274979386E-2
8.648437500E3;3.874411471E-2
8.671875000E3;1.454346923E-2
8.695312500E3;2.757401324E-2
8.718750000E3;2.345580066E-2
8.742187500E3;3.337673981E-2
8.765625000E3;1.444882101E-2
8.789062500E3;4.687167398E-2
8.812500000E3;5.701815440E-2
8.835937500E3;3.889781085E-2
8.859375000E3;1.965909879E-2
8.882812500E3;4.941461586E-3
8.906250000E3;2.643491614E-2
8.929687500E3;3.435486567E-2
8.953125000E3;9.988276855E-2
8.976562500E3;5.317031788E-2
9.000000000E3;3.102516064E-2
9.023437500E3;3.772899379E-2
9.046875000E3;4.072417117E-2
9.070312500E3;6.802277660E-2
9.093750000E3;5.499865713E-2
9.117187500E3;5.117297250E-2
9.140625000E3;1.939315703E-2
9.164062500E3;5.429373772E-2
9.187500000E3;3.476449825E-2
9.210937500E3;5.848470499E-2
9.234375000E3;3.690858020E-2
9.257812500E3;3.378700771E-2
9.281250000E3;1.115018641E-1
9.304687500E3;7.523544352E-2
9.328125000E3;1.082477588E-2
9.351562500E3;4.240150875E-2
9.375000000E3;5.291376704E-2
9.398437500E3;3.275973820E-3
9.421875000E3;3.399291054E-2
9.445312500E3;2.497279445E-2
9.468750000E3;3.446750506E-2
9.492187500E3;1.449339518E-2
9.515625000E3;6.408149698E-2
9.539062500E3;8.672123859E-3
9.562500000E3;4.427937558E-2
9.585937500E3;3.201096830E-2
9.609375000E3;1.609110077E-2
9.632812500E3;3.634224982E-2
9.656250000E3;9.900954615E-2
9.679687500E3;3.387774412E-2
9.703125000E3;2.874365532E-2
9.726562500E3;2.640270214E-2
9.750000000E3;1.978382808E-2
9.773437500E3;1.601442720E-2
9.796875000E3;1.858523072E-2
9.820312500E3;1.853051450E-2
9.843750000E3;2.099879719E-2
9.867187500E3;4.961012953E-2
9.890625000E3;3.435434574E-2
9.914062500E3;1.730963126E-2
9.937500000E3;1.199649602E-2
9.960937500E3;8.618775985E-3
9.984375000E3;3.517577617E-2
1.000781250E4;9.724114847E-3
1.003125000E4;1.573126587E-2
1.005468750E4;2.299198706E-2
1.007812500E4;7.369188980E-2
1.010156250E4;9.497248771E-2
1.012500000E4;2.761503338E-2
1.014843750E4;7.843376410E-2
1.017187500E4;8.607331107E-2
1.019531250E4;7.141544334E-2
1.021875000E4;2.943761635E-2
1.024218750E4;4.819141312E-2
1.026562500E4;9.825138427E-2
1.028906250E4;8.401970116E-2
1.031250000E4;4.395847450E-2
1.033593750E4;2.126406132E-2
1.035937500E4;3.415861736E-2
1.038281250E4;3.452421785E-2
1.040625000E4;6.610839749E-2
1.042968750E4;1.101177933E-1
1.045312500E4;4.636083064E-2
1.047656250E4;5.543180466E-2
1.050000000E4;4.249032663E-2
1.052343750E4;7.048257122E-2
1.054687500E4;5.411931752E-2
1.057031250E4;1.754716086E-2
1.059375000E4;2.869777050E-2
1.061718750E4;1.830435655E-2
1.064062500E4;2.594694555E-2
1.066406250E4;8.293574022E-3
1.068750000E4;3.060237597E-2
1.071093750E4;2.135965472E-1
1.073437500E4;1.834552158E-1
1.075781250E4;1.686585417E-1
1.078125000E4;1.533485895E-1
1.080468750E4;1.086699297E-1
1.082812500E4;1.094856702E-1
1.085156250E4;1.659211145E-1
1.087500000E4;1.075067812E-1
1.089843750E4;1.439247117E-1
1.092187500E4;1.098490738E-1
1.094531250E4;3.188010675E-1
1.096875000E4;5.743570083E-2
1.099218750E4;5.735642107E-2
1.101562500E4;7.070113042E-2
1.103906250E4;1.474367185E-1
1.106250000E4;1.049479171E-1
1.108593750E4;3.846098213E-2
1.110937500E4;7.758170452E-2
