"Time (s)";"Recording (a.u.)"
3.520833333E-3;8.481584955E-4
3.541666667E-3;2.317410253E-4
3.562500000E-3;3.401634458E-4
3.583333333E-3;5.905717844E-4
3.604166667E-3;-3.521143226E-4
3.625000000E-3;-1.809893874E-4
3.645833333E-3;1.155402046E-3
3.666666667E-3;6.685197586E-4
3.687500000E-3;-9.261816158E-4
3.708333333E-3;-1.541610109E-4
3.729166667E-3;1.753371325E-3
3.750000000E-3;1.164018759E-3
3.770833333E-3;-9.444116586E-5
3.791666667E-3;7.343305624E-4
3.812500000E-3;1.991952071E-3
3.833333333E-3;1.960249618E-3
3.854166667E-3;8.588022902E-4
3.875000000E-3;1.789081434E-4
3.895833333E-3;1.524382533E-4
3.916666667E-3;-3.989175020E-4
3.937500000E-3;-2.465573198E-4
3.958333333E-3;1.103280694E-3
3.979166667E-3;1.378599671E-3
4.000000000E-3;3.804097360E-4
4.020833333E-3;3.329617903E-4
4.041666667E-3;1.602121629E-3
4.062500000E-3;1.966229174E-3
4.083333333E-3;1.070493716E-3
4.104166667E-3;8.869611192E-4
4.125000000E-3;1.203017076E-3
4.145833333E-3;1.201915205E-3
4.166666667E-3;1.401936403E-3
4.187500000E-3;1.108853612E-3
4.208333333E-3;3.442771558E-4
4.229166667E-3;1.137282583E-3
4.250000000E-3;2.504750853E-3
4.270833333E-3;1.864615362E-3
4.291666667E-3;8.653717814E-4
4.312500000E-3;1.601579948E-3
4.333333333E-3;2.361087361E-3
4.354166667E-3;1.616824185E-3
4.375000000E-3;1.174094970E-3
4.395833333E-3;1.903774915E-3
4.416666667E-3;1.692657359E-3
4.437500000E-3;2.277059975E-4
4.458333333E-3;-4.208491009E-4
4.479166667E-3;7.321222220E-4
4.500000000E-3;1.770128612E-3
4.520833333E-3;7.447572425E-4
4.541666667E-3;-4.288903729E-4
4.562500000E-3;5.833815667E-4
4.583333333E-3;1.680713729E-3
4.604166667E-3;8.125493187E-4
4.625000000E-3;3.070499515E-4
4.645833333E-3;5.701595219E-4
4.666666667E-3;-1.106002528E-4
4.687500000E-3;-5.010679160E-5
4.708333333E-3;1.738118939E-3
4.729166667E-3;1.901705284E-3
4.750000000E-3;-6.759925163E-4
4.770833333E-3;-1.077020192E-3
4.791666667E-3;1.399568282E-3
4.812500000E-3;1.434684964E-3
4.833333333E-3;-4.001239722E-4
4.854166667E-3;9.037401583E-7
4.875000000E-3;1.585757593E-3
4.895833333E-3;2.035297919E-3
4.916666667E-3;2.055505291E-3
4.937500000E-3;1.927314326E-3
4.958333333E-3;1.200171886E-3
4.979166667E-3;7.782524335E-4
5.000000000E-3;1.054595807E-3
5.020833333E-3;1.327510108E-3
5.041666667E-3;1.501636230E-3
5.062500000E-3;1.931627630E-3
5.083333333E-3;1.996607287E-3
5.104166667E-3;1.558831311E-3
5.125000000E-3;1.241483260E-3
5.145833333E-3;1.493389602E-3
5.166666667E-3;2.664573956E-3
5.187500000E-3;2.687601373E-3
5.208333333E-3;1.245853840E-3
5.229166667E-3;1.972593367E-3
5.250000000E-3;3.331750864E-3
5.270833333E-3;1.502965228E-3
5.291666667E-3;2.319361520E-4
5.312500000E-3;2.335280413E-3
5.333333333E-3;2.751802327E-3
5.354166667E-3;5.880515091E-4
5.375000000E-3;8.073582430E-4
5.395833333E-3;2.752563683E-3
5.416666667E-3;3.319654614E-3
5.437500000E-3;3.189507173E-3
5.458333333E-3;3.030755557E-3
5.479166667E-3;2.156110713E-3
5.500000000E-3;2.004867885E-3
5.520833333E-3;3.725082614E-3
5.541666667E-3;3.767177230E-3
5.562500000E-3;1.111122663E-3
5.583333333E-3;1.344982302E-4
5.604166667E-3;2.376704477E-3
5.625000000E-3;3.999323118E-3
5.645833333E-3;1.915059634E-3
5.666666667E-3;-6.425199535E-5
