"event";"experiment time";"system time";"system time text"
"START";0.000000000000000E0;1.734900853270321E9;"2024-12-22 21:54:13.270 UTC+01:00"
"PAUSE";1.074864854167390E1;1.734900864019048E9;"2024-12-22 21:54:24.019 UTC+01:00"
