"Frequency (Hz)";"Absolute Amplitude (a.u.)"
4.382812500E3;1.056186882E-2
4.406250000E3;8.047875420E-3
4.429687500E3;1.074973359E-2
4.453125000E3;9.781249907E-3
4.476562500E3;1.299777325E-2
4.500000000E3;7.949703800E-3
4.523437500E3;1.001864204E-2
4.546875000E3;9.700868248E-3
4.570312500E3;1.066405231E-2
4.593750000E3;7.915915866E-3
4.617187500E3;3.546722959E-3
4.640625000E3;4.656772712E-3
4.664062500E3;9.171852818E-3
4.687500000E3;1.897326128E-2
4.710937500E3;7.849892416E-3
4.734375000E3;9.488390287E-3
4.757812500E3;5.511524368E-3
4.781250000E3;1.052175774E-2
4.804687500E3;5.424279552E-3
4.828125000E3;1.387138318E-2
4.851562500E3;1.725375270E-2
4.875000000E3;1.164375397E-2
4.898437500E3;1.538079339E-2
4.921875000E3;7.838734045E-3
4.945312500E3;3.063586570E-2
4.968750000E3;2.471619247E-2
4.992187500E3;1.243736528E-2
5.015625000E3;1.162939339E-2
5.039062500E3;3.926755258E-3
5.062500000E3;9.507049679E-3
5.085937500E3;8.815769621E-3
5.109375000E3;1.404388297E-2
5.132812500E3;2.476411797E-3
5.156250000E3;1.487727580E-2
5.179687500E3;8.518732285E-3
5.203125000E3;1.268500758E-2
5.226562500E3;1.307353589E-2
5.250000000E3;5.669504290E-3
5.273437500E3;1.048571485E-2
5.296875000E3;1.422697469E-2
5.320312500E3;1.095929251E-2
5.343750000E3;1.517593494E-2
5.367187500E3;4.991669404E-3
5.390625000E3;1.012223634E-2
5.414062500E3;7.582809441E-3
5.437500000E3;1.745135604E-2
5.460937500E3;5.261649533E-3
5.484375000E3;3.888285387E-4
5.507812500E3;5.446002302E-3
5.531250000E3;2.621755658E-2
5.554687500E3;2.206565229E-2
5.578125000E3;4.154639262E-2
5.601562500E3;2.712418663E-2
5.625000000E3;2.285860504E-2
5.648437500E3;5.425032239E-3
5.671875000E3;2.513326836E-3
5.695312500E3;1.791110502E-2
5.718750000E3;3.191675129E-2
5.742187500E3;2.447450055E-2
5.765625000E3;1.476059369E-2
5.789062500E3;1.757534805E-2
5.812500000E3;6.019264050E-3
5.835937500E3;2.797167304E-2
5.859375000E3;3.443942969E-2
5.882812500E3;1.701700194E-2
5.906250000E3;2.099632519E-2
5.929687500E3;2.702042208E-2
5.953125000E3;1.178602416E-2
5.976562500E3;2.213973211E-2
6.000000000E3;2.360535245E-2
6.023437500E3;3.280450891E-2
6.046875000E3;9.978559072E-3
6.070312500E3;1.581379703E-2
6.093750000E3;1.556297482E-2
6.117187500E3;7.719265264E-3
6.140625000E3;1.775833969E-2
6.164062500E3;6.354013372E-3
6.187500000E3;7.882356113E-3
6.210937500E3;2.385866756E-3
6.234375000E3;1.653226712E-2
6.257812500E3;2.297532892E-2
6.281250000E3;3.150547569E-2
6.304687500E3;5.812708351E-3
6.328125000E3;1.788499441E-2
6.351562500E3;9.428614128E-3
6.375000000E3;1.093795887E-2
6.398437500E3;8.013090580E-3
6.421875000E3;2.372171559E-2
6.445312500E3;1.972552712E-2
6.468750000E3;2.529730112E-2
6.492187500E3;2.732471764E-2
6.515625000E3;1.735717590E-2
6.539062500E3;3.552920991E-2
6.562500000E3;1.188415919E-2
6.585937500E3;2.697640552E-2
6.609375000E3;4.110535348E-2
6.632812500E3;2.124967631E-2
6.656250000E3;8.771224312E-3
6.679687500E3;1.256748602E-2
6.703125000E3;1.294535373E-2
