"Time (s)";"Recording (a.u.)"
3.520833333E-3;-1.685629832E-3
3.541666667E-3;-1.834787661E-3
3.562500000E-3;-1.585545018E-3
3.583333333E-3;-1.411307952E-3
3.604166667E-3;-1.420260058E-3
3.625000000E-3;-1.555676339E-3
3.645833333E-3;-1.409865916E-3
3.666666667E-3;-1.084477175E-3
3.687500000E-3;-9.629461565E-4
3.708333333E-3;-5.200651358E-4
3.729166667E-3;-4.562418326E-5
3.750000000E-3;7.020033081E-5
3.770833333E-3;3.553584684E-4
3.791666667E-3;5.350654828E-4
3.812500000E-3;4.276506370E-4
3.833333333E-3;6.267741555E-4
3.854166667E-3;9.626572719E-4
3.875000000E-3;1.223961939E-3
3.895833333E-3;1.323275967E-3
3.916666667E-3;1.270934124E-3
3.937500000E-3;1.167869312E-3
3.958333333E-3;8.755513700E-4
3.979166667E-3;8.029645542E-4
4.000000000E-3;1.096209045E-3
4.020833333E-3;1.384042087E-3
4.041666667E-3;1.511624316E-3
4.062500000E-3;1.871721004E-3
4.083333333E-3;2.370502800E-3
4.104166667E-3;2.383961575E-3
4.125000000E-3;2.131961286E-3
4.145833333E-3;2.059790306E-3
4.166666667E-3;2.338320483E-3
4.187500000E-3;2.467967803E-3
4.208333333E-3;2.491100924E-3
4.229166667E-3;2.684985753E-3
4.250000000E-3;2.839043736E-3
4.270833333E-3;3.006373066E-3
4.291666667E-3;2.888499526E-3
4.312500000E-3;2.813724801E-3
4.333333333E-3;2.967839362E-3
4.354166667E-3;3.003965365E-3
4.375000000E-3;2.786773723E-3
4.395833333E-3;2.569793491E-3
4.416666667E-3;2.754352521E-3
4.437500000E-3;2.485532546E-3
4.458333333E-3;1.961308066E-3
4.479166667E-3;1.866767532E-3
4.500000000E-3;1.682067174E-3
4.520833333E-3;1.460587606E-3
4.541666667E-3;1.194036566E-3
4.562500000E-3;7.438550820E-4
4.583333333E-3;3.622460063E-4
4.604166667E-3;2.764129022E-4
4.625000000E-3;-6.957728328E-5
4.645833333E-3;-9.018599521E-4
4.666666667E-3;-1.387702301E-3
4.687500000E-3;-1.434577978E-3
4.708333333E-3;-1.471729833E-3
4.729166667E-3;-1.551147667E-3
4.750000000E-3;-1.615939080E-3
4.770833333E-3;-1.634077751E-3
4.791666667E-3;-1.491560601E-3
4.812500000E-3;-1.520724269E-3
4.833333333E-3;-1.719677355E-3
4.854166667E-3;-1.556785079E-3
4.875000000E-3;-1.166247064E-3
4.895833333E-3;-9.242114611E-4
4.916666667E-3;-1.343560638E-3
4.937500000E-3;-1.702974318E-3
4.958333333E-3;-1.364431577E-3
4.979166667E-3;-1.253422466E-3
5.000000000E-3;-1.426295727E-3
5.020833333E-3;-1.543424325E-3
5.041666667E-3;-1.313325716E-3
5.062500000E-3;-1.102417824E-3
5.083333333E-3;-1.301537268E-3
5.104166667E-3;-1.304068719E-3
5.125000000E-3;-1.442544861E-3
5.145833333E-3;-1.824808656E-3
5.166666667E-3;-2.117116237E-3
5.187500000E-3;-2.329402138E-3
5.208333333E-3;-2.389393747E-3
