"Frequency (Hz)";"Absolute Amplitude (a.u.)"
4.406250000E3;3.138066232E-2
4.429687500E3;7.073011277E-2
4.453125000E3;4.401234970E-2
4.476562500E3;2.208156768E-2
4.500000000E3;5.350612592E-2
4.523437500E3;2.278365140E-2
4.546875000E3;6.721046078E-2
4.570312500E3;2.321438297E-2
4.593750000E3;4.634254306E-2
4.617187500E3;6.484407715E-2
4.640625000E3;2.157595096E-2
4.664062500E3;5.998166318E-3
4.687500000E3;1.145450176E-2
4.710937500E3;2.635373707E-2
4.734375000E3;5.106430166E-2
4.757812500E3;3.379662343E-2
4.781250000E3;5.261574232E-2
4.804687500E3;3.366888562E-2
4.828125000E3;4.645923251E-2
4.851562500E3;5.240407981E-2
4.875000000E3;9.291958171E-2
4.898437500E3;4.001611377E-2
4.921875000E3;4.236990939E-2
4.945312500E3;3.612895809E-2
4.968750000E3;2.668541556E-2
4.992187500E3;1.841432815E-2
5.015625000E3;2.656808305E-2
5.039062500E3;5.691857627E-2
5.062500000E3;2.122749420E-2
5.085937500E3;6.035037128E-2
5.109375000E3;7.216872638E-2
5.132812500E3;5.301288132E-2
5.156250000E3;5.346175702E-2
5.179687500E3;3.666073868E-2
5.203125000E3;4.546677601E-2
5.226562500E3;3.007759586E-2
5.250000000E3;4.694193546E-2
5.273437500E3;3.649814975E-2
5.296875000E3;5.006713282E-2
5.320312500E3;3.942996432E-2
5.343750000E3;2.194797279E-3
5.367187500E3;6.070898573E-3
5.390625000E3;7.828787258E-3
5.414062500E3;4.548128479E-2
5.437500000E3;4.061231948E-2
5.460937500E3;4.525998302E-2
5.484375000E3;3.325631138E-2
5.507812500E3;1.124882922E-1
5.531250000E3;4.190479411E-2
5.554687500E3;2.529337756E-2
5.578125000E3;4.855919815E-2
5.601562500E3;4.072996246E-2
5.625000000E3;3.188647638E-2
5.648437500E3;3.616203636E-2
5.671875000E3;5.704880738E-2
5.695312500E3;4.660808709E-2
5.718750000E3;3.203173355E-2
5.742187500E3;4.472779043E-2
5.765625000E3;3.304494480E-4
5.789062500E3;4.490158443E-2
5.812500000E3;3.432361897E-2
5.835937500E3;6.996109642E-2
5.859375000E3;2.749207699E-3
5.882812500E3;6.589877547E-2
5.906250000E3;2.228887685E-2
5.929687500E3;5.161085330E-3
5.953125000E3;4.069568378E-3
5.976562500E3;2.575653839E-2
6.000000000E3;6.964316130E-2
6.023437500E3;2.979629883E-2
6.046875000E3;4.768944042E-2
6.070312500E3;1.638213842E-2
6.093750000E3;3.111483569E-2
6.117187500E3;7.031014014E-2
6.140625000E3;2.776950991E-2
6.164062500E3;3.622914891E-2
6.187500000E3;6.172537635E-2
6.210937500E3;7.547696739E-2
6.234375000E3;6.627130536E-2
6.257812500E3;6.789975442E-2
6.281250000E3;7.929667565E-2
6.304687500E3;7.293253869E-2
6.328125000E3;5.212735750E-2
6.351562500E3;4.118583101E-2
6.375000000E3;3.329770650E-3
6.398437500E3;3.630210067E-2
6.421875000E3;9.048619952E-2
6.445312500E3;3.263594498E-2
6.468750000E3;3.188186454E-2
6.492187500E3;2.699005355E-2
