"Time (s)";"Peak-Frequency"
4.138666667E0;2.109375000E2
4.181333333E0;2.109375000E2
4.224000000E0;2.109375000E2
4.266666667E0;2.109375000E2
4.309333333E0;5.625000000E2
4.352000000E0;1.640625000E2
4.394666667E0;6.562500000E2
4.437333333E0;6.562500000E2
4.480000000E0;6.562500000E2
4.522666667E0;1.640625000E3
4.565333333E0;1.640625000E3
4.608000000E0;1.617187500E3
4.650666667E0;1.664062500E3
4.693333333E0;2.812500000E2
4.736000000E0;2.812500000E2
4.778666667E0;1.171875000E2
4.821333333E0;2.812500000E2
4.864000000E0;7.265625000E2
4.906666667E0;1.851562500E3
4.949333333E0;3.046875000E2
4.992000000E0;1.875000000E2
5.034666667E0;1.171875000E2
5.077333333E0;1.171875000E2
5.120000000E0;2.109375000E2
5.162666667E0;4.453125000E2
5.205333333E0;1.875000000E2
5.248000000E0;5.859375000E2
5.290666667E0;5.859375000E2
5.333333333E0;2.812500000E2
5.376000000E0;5.859375000E2
5.418666667E0;5.859375000E2
5.461333333E0;5.859375000E2
5.504000000E0;5.859375000E2
5.546666667E0;5.859375000E2
5.589333333E0;5.859375000E2
5.632000000E0;5.625000000E2
5.674666667E0;2.109375000E2
5.717333333E0;2.109375000E2
5.760000000E0;6.562500000E2
5.802666667E0;7.265625000E2
5.845333333E0;7.500000000E2
5.888000000E0;4.921875000E2
5.930666667E0;4.921875000E2
5.973333333E0;2.109375000E2
6.016000000E0;5.859375000E2
6.058666667E0;1.875000000E2
6.101333333E0;1.171875000E2
6.144000000E0;2.109375000E2
6.186666667E0;4.921875000E2
6.229333333E0;2.578125000E2
6.272000000E0;2.578125000E2
6.314666667E0;4.687500000E2
6.357333333E0;4.921875000E2
6.400000000E0;2.343750000E2
6.442666667E0;1.875000000E2
6.485333333E0;2.812500000E2
6.528000000E0;3.750000000E2
6.570666667E0;4.921875000E2
6.613333333E0;4.921875000E2
6.656000000E0;2.343750000E2
6.698666667E0;1.875000000E2
6.741333333E0;1.171875000E2
6.784000000E0;1.171875000E2
6.826666667E0;3.046875000E2
6.869333333E0;1.171875000E2
6.912000000E0;1.875000000E2
6.954666667E0;2.812500000E2
6.997333333E0;1.171875000E2
7.040000000E0;1.171875000E2
7.082666667E0;2.578125000E2
7.125333333E0;1.875000000E2
7.168000000E0;1.171875000E2
7.210666667E0;1.171875000E2
7.253333333E0;2.109375000E2
7.296000000E0;2.109375000E2
7.338666667E0;1.640625000E2
7.381333333E0;1.171875000E2
7.424000000E0;6.562500000E2
7.466666667E0;2.109375000E2
7.509333333E0;1.593750000E3
7.552000000E0;1.171875000E2
7.594666667E0;2.109375000E2
7.637333333E0;2.343750000E2
7.680000000E0;2.812500000E2
7.722666667E0;1.171875000E2
7.765333333E0;1.171875000E2
7.808000000E0;1.171875000E2
7.850666667E0;7.031250000E1
7.893333333E0;1.664062500E3
7.936000000E0;1.664062500E3
7.978666667E0;1.664062500E3
8.021333333E0;1.640625000E3
8.064000000E0;1.617187500E3
8.106666667E0;1.664062500E3
8.149333333E0;7.265625000E2
8.192000000E0;7.500000000E2
8.234666667E0;1.476562500E3
8.277333333E0;1.476562500E3
8.320000000E0;1.476562500E3
8.362666667E0;4.453125000E2
8.405333333E0;1.875000000E2
8.448000000E0;1.171875000E2
8.490666667E0;1.171875000E2
8.533333333E0;5.625000000E2
8.576000000E0;7.265625000E2
8.618666667E0;2.109375000E2
8.661333333E0;1.875000000E2
8.704000000E0;2.109375000E2
8.746666667E0;5.625000000E2
8.789333333E0;5.625000000E2
8.832000000E0;5.625000000E2
8.874666667E0;5.625000000E2
8.917333333E0;5.625000000E2
8.960000000E0;5.625000000E2
9.002666667E0;9.375000000E1
9.045333333E0;2.812500000E2
9.088000000E0;2.109375000E2
9.130666667E0;4.453125000E2
9.173333333E0;6.562500000E2
9.216000000E0;4.921875000E2
9.258666667E0;1.875000000E2
9.301333333E0;1.875000000E2
9.344000000E0;4.921875000E2
9.386666667E0;4.687500000E2
9.429333333E0;4.921875000E2
9.472000000E0;1.875000000E2
9.514666667E0;1.171875000E2
9.557333333E0;1.171875000E2
9.600000000E0;7.265625000E2
9.642666667E0;7.265625000E2
9.685333333E0;2.109375000E2
9.728000000E0;2.812500000E2
9.770666667E0;4.921875000E2
9.813333333E0;2.578125000E2
9.856000000E0;2.578125000E2
9.898666667E0;2.109375000E2
9.941333333E0;1.875000000E2
9.984000000E0;4.453125000E2
1.002666667E1;4.921875000E2
1.006933333E1;2.578125000E2
1.011200000E1;2.109375000E2
1.015466667E1;1.171875000E2
1.019733333E1;1.171875000E2
1.024000000E1;5.625000000E2
1.028266667E1;5.625000000E2
1.032533333E1;2.109375000E2
1.036800000E1;2.109375000E2
1.041066667E1;2.812500000E2
1.045333333E1;6.562500000E2
1.049600000E1;6.562500000E2
1.053866667E1;6.562500000E2
1.058133333E1;2.109375000E2
