"Time (s)";"Recording (a.u.)"
3.125000000E-3;1.442165021E-2
3.145833333E-3;1.646414585E-2
3.166666667E-3;1.810795814E-2
3.187500000E-3;1.995961741E-2
3.208333333E-3;2.121623233E-2
3.229166667E-3;2.050428651E-2
3.250000000E-3;1.913588680E-2
3.270833333E-3;1.851129346E-2
3.291666667E-3;1.810988225E-2
3.312500000E-3;1.724108867E-2
3.333333333E-3;1.568842866E-2
3.354166667E-3;1.333105285E-2
3.375000000E-3;1.135852747E-2
3.395833333E-3;1.091230474E-2
3.416666667E-3;1.010198798E-2
3.437500000E-3;7.832324132E-3
3.458333333E-3;5.542008206E-3
3.479166667E-3;3.658011090E-3
3.500000000E-3;1.864614431E-3
3.520833333E-3;1.840092882E-4
3.541666667E-3;-8.489837055E-4
3.562500000E-3;-1.043394557E-3
3.583333333E-3;-1.109237433E-3
3.604166667E-3;-1.600577962E-3
3.625000000E-3;-2.379083773E-3
3.645833333E-3;-2.634840086E-3
3.666666667E-3;-2.594524063E-3
3.687500000E-3;-3.109637881E-3
3.708333333E-3;-3.413172439E-3
3.729166667E-3;-3.452466102E-3
3.750000000E-3;-5.313039757E-3
3.770833333E-3;-8.371970616E-3
3.791666667E-3;-9.733996354E-3
3.812500000E-3;-9.406563826E-3
3.833333333E-3;-8.886267431E-3
3.854166667E-3;-8.663325571E-3
3.875000000E-3;-8.593509905E-3
3.895833333E-3;-8.642931469E-3
3.916666667E-3;-8.652285673E-3
3.937500000E-3;-8.640679531E-3
3.958333333E-3;-9.169145487E-3
3.979166667E-3;-9.565184824E-3
4.000000000E-3;-9.592505172E-3
4.020833333E-3;-1.074324269E-2
4.041666667E-3;-1.222458202E-2
4.062500000E-3;-1.210736576E-2
4.083333333E-3;-1.174131408E-2
4.104166667E-3;-1.223546732E-2
4.125000000E-3;-1.217146032E-2
4.145833333E-3;-1.123886555E-2
4.166666667E-3;-1.050482225E-2
4.187500000E-3;-9.742560796E-3
4.208333333E-3;-8.094824851E-3
4.229166667E-3;-6.906482857E-3
4.250000000E-3;-7.227911614E-3
4.270833333E-3;-7.987499237E-3
4.291666667E-3;-8.013775572E-3
4.312500000E-3;-7.365555502E-3
4.333333333E-3;-7.181615103E-3
4.354166667E-3;-7.029739674E-3
4.375000000E-3;-6.446106359E-3
4.395833333E-3;-5.506758578E-3
4.416666667E-3;-4.184402060E-3
4.437500000E-3;-3.521783976E-3
4.458333333E-3;-2.517153975E-3
4.479166667E-3;-7.408690290E-4
4.500000000E-3;3.268494329E-4
4.520833333E-3;6.625086535E-4
4.541666667E-3;5.638177390E-4
4.562500000E-3;1.955933985E-4
4.583333333E-3;-6.975212600E-4
4.604166667E-3;-1.691460377E-3
4.625000000E-3;-2.668559551E-3
4.645833333E-3;-4.032111727E-3
4.666666667E-3;-4.809226841E-3
4.687500000E-3;-4.506425466E-3
4.708333333E-3;-4.252441693E-3
4.729166667E-3;-5.624928046E-3
4.750000000E-3;-7.460018620E-3
4.770833333E-3;-8.125275373E-3
4.791666667E-3;-7.778227329E-3
4.812500000E-3;-6.503785029E-3
4.833333333E-3;-6.078585982E-3
4.854166667E-3;-7.630166598E-3
4.875000000E-3;-8.939827792E-3
4.895833333E-3;-8.457408287E-3
4.916666667E-3;-7.930302992E-3
4.937500000E-3;-8.386163041E-3
4.958333333E-3;-8.173650131E-3
4.979166667E-3;-7.681728806E-3
5.000000000E-3;-8.279290050E-3
5.020833333E-3;-8.895147592E-3
5.041666667E-3;-8.608498611E-3
5.062500000E-3;-8.210927248E-3
5.083333333E-3;-8.772942238E-3
5.104166667E-3;-1.008054707E-2
5.125000000E-3;-1.107105706E-2
5.145833333E-3;-1.141758822E-2
5.166666667E-3;-1.164588332E-2
5.187500000E-3;-1.189068146E-2
5.208333333E-3;-1.199135650E-2
5.229166667E-3;-1.251245011E-2
5.250000000E-3;-1.352151297E-2
5.270833333E-3;-1.377786044E-2
5.291666667E-3;-1.336590853E-2
5.312500000E-3;-1.421760488E-2
5.333333333E-3;-1.590386592E-2
5.354166667E-3;-1.653618924E-2
5.375000000E-3;-1.723842509E-2
5.395833333E-3;-1.927459612E-2
5.416666667E-3;-2.088563144E-2
5.437500000E-3;-2.151861228E-2
5.458333333E-3;-2.257554047E-2
5.479166667E-3;-2.281702496E-2
5.500000000E-3;-2.118711732E-2
5.520833333E-3;-1.956303976E-2
5.541666667E-3;-1.863034628E-2
5.562500000E-3;-1.728324406E-2
5.583333333E-3;-1.536822785E-2
5.604166667E-3;-1.409527380E-2
5.625000000E-3;-1.296321303E-2
5.645833333E-3;-1.110158954E-2
5.666666667E-3;-9.798699990E-3
5.687500000E-3;-8.999545127E-3
5.708333333E-3;-7.839217782E-3
5.729166667E-3;-7.370729465E-3
5.750000000E-3;-8.123802021E-3
5.770833333E-3;-8.230471984E-3
5.791666667E-3;-6.964358501E-3
5.812500000E-3;-5.368957762E-3
5.833333333E-3;-3.600025550E-3
5.854166667E-3;-2.554684179E-3
5.875000000E-3;-2.698274329E-3
5.895833333E-3;-2.104479354E-3
5.916666667E-3;4.332163953E-4
5.937500000E-3;3.106105840E-3
5.958333333E-3;4.549837671E-3
5.979166667E-3;6.394418422E-3
6.000000000E-3;8.445915766E-3
6.020833333E-3;8.861775510E-3
6.041666667E-3;8.241198957E-3
6.062500000E-3;8.193329908E-3
6.083333333E-3;9.316527285E-3
6.104166667E-3;1.107645407E-2
6.125000000E-3;1.228731032E-2
6.145833333E-3;1.123631187E-2
6.166666667E-3;9.327849373E-3
6.187500000E-3;9.923661128E-3
6.208333333E-3;1.140367333E-2
6.229166667E-3;1.138996519E-2
6.250000000E-3;1.180959400E-2
6.270833333E-3;1.410870720E-2
6.291666667E-3;1.600115374E-2
6.312500000E-3;1.626344211E-2
6.333333333E-3;1.680260152E-2
6.354166667E-3;1.729508862E-2
6.375000000E-3;1.686484925E-2
6.395833333E-3;1.677194983E-2
6.416666667E-3;1.720716618E-2
6.437500000E-3;1.728182845E-2
6.458333333E-3;1.691010781E-2
6.479166667E-3;1.654017158E-2
6.500000000E-3;1.571403816E-2
6.520833333E-3;1.467031054E-2
6.541666667E-3;1.389368344E-2
6.562500000E-3;1.313151419E-2
6.583333333E-3;1.310706418E-2
6.604166667E-3;1.374450140E-2
6.625000000E-3;1.417046692E-2
6.645833333E-3;1.399895735E-2
6.666666667E-3;1.347123273E-2
6.687500000E-3;1.290371921E-2
6.708333333E-3;1.210967358E-2
6.729166667E-3;1.147657353E-2
6.750000000E-3;1.075141598E-2
6.770833333E-3;9.868616238E-3
6.791666667E-3;9.138791822E-3
6.812500000E-3;7.902928628E-3
6.833333333E-3;5.974036176E-3
6.854166667E-3;4.185059574E-3
6.875000000E-3;3.716571722E-3
6.895833333E-3;3.820021870E-3
6.916666667E-3;4.071098287E-3
6.937500000E-3;5.309406202E-3
6.958333333E-3;5.680548027E-3
6.979166667E-3;4.034422804E-3
7.000000000E-3;3.039438277E-3
7.020833333E-3;4.436135292E-3
7.041666667E-3;5.494556855E-3
7.062500000E-3;4.722671583E-3
7.083333333E-3;4.023905378E-3
7.104166667E-3;3.516846336E-3
7.125000000E-3;3.075798741E-3
7.145833333E-3;2.942143707E-3
7.166666667E-3;2.414464019E-3
7.187500000E-3;1.196543220E-3
7.208333333E-3;1.911786094E-4
7.229166667E-3;8.240475436E-4
7.250000000E-3;1.899121562E-3
7.270833333E-3;2.113647293E-3
7.291666667E-3;2.579084598E-3
7.312500000E-3;3.247771645E-3
7.333333333E-3;3.592603374E-3
7.354166667E-3;4.186660983E-3
7.375000000E-3;5.230640061E-3
7.395833333E-3;6.806087214E-3
7.416666667E-3;9.224495851E-3
7.437500000E-3;1.132347062E-2
7.458333333E-3;1.142389141E-2
7.479166667E-3;1.099194400E-2
7.500000000E-3;1.226855628E-2
7.520833333E-3;1.424332988E-2
7.541666667E-3;1.486703288E-2
7.562500000E-3;1.375616994E-2
7.583333333E-3;1.277964469E-2
7.604166667E-3;1.315676793E-2
7.625000000E-3;1.317466423E-2
7.645833333E-3;1.276732516E-2
7.666666667E-3;1.361984201E-2
7.687500000E-3;1.529465243E-2
7.708333333E-3;1.625554450E-2
7.729166667E-3;1.599935070E-2
7.750000000E-3;1.640911028E-2
7.770833333E-3;1.828379743E-2
7.791666667E-3;1.917145774E-2
7.812500000E-3;1.864314824E-2
7.833333333E-3;1.865571551E-2
7.854166667E-3;1.885395497E-2
7.875000000E-3;1.792237349E-2
7.895833333E-3;1.712124981E-2
7.916666667E-3;1.768406667E-2
7.937500000E-3;1.859761961E-2
7.958333333E-3;1.914418302E-2
7.979166667E-3;1.849101111E-2
8.000000000E-3;1.702717133E-2
8.020833333E-3;1.721705683E-2
8.041666667E-3;1.761431992E-2
8.062500000E-3;1.632071659E-2
8.083333333E-3;1.548253838E-2
8.104166667E-3;1.594526879E-2
8.125000000E-3;1.548450906E-2
8.145833333E-3;1.328193489E-2
8.166666667E-3;1.238593552E-2
8.187500000E-3;1.335401088E-2
8.208333333E-3;1.350444648E-2
8.229166667E-3;1.291256957E-2
8.250000000E-3;1.312735677E-2
8.270833333E-3;1.315945201E-2
8.291666667E-3;1.191353425E-2
8.312500000E-3;1.109734736E-2
8.333333333E-3;1.063393708E-2
8.354166667E-3;9.151187725E-3
8.375000000E-3;6.769006606E-3
8.395833333E-3;4.099574406E-3
8.416666667E-3;2.019878244E-3
8.437500000E-3;7.929952699E-4
8.458333333E-3;-4.450768465E-4
8.479166667E-3;-2.809470519E-3
8.500000000E-3;-4.399675410E-3
8.520833333E-3;-4.121719394E-3
8.541666667E-3;-4.466581158E-3
8.562500000E-3;-5.359052680E-3
8.583333333E-3;-5.156799685E-3
8.604166667E-3;-4.134042654E-3
8.625000000E-3;-4.223583266E-3
8.645833333E-3;-5.994355306E-3
8.666666667E-3;-7.671225350E-3
8.687500000E-3;-7.922281511E-3
8.708333333E-3;-6.875309628E-3
8.729166667E-3;-6.676319987E-3
8.750000000E-3;-7.855113596E-3
8.770833333E-3;-8.805371821E-3
8.791666667E-3;-9.529289789E-3
8.812500000E-3;-1.008475851E-2
8.833333333E-3;-1.022057422E-2
8.854166667E-3;-1.071053836E-2
8.875000000E-3;-1.269057207E-2
8.895833333E-3;-1.513069123E-2
8.916666667E-3;-1.590648852E-2
8.937500000E-3;-1.531041693E-2
8.958333333E-3;-1.462769229E-2
8.979166667E-3;-1.404954400E-2
9.000000000E-3;-1.288512535E-2
9.020833333E-3;-1.174109615E-2
9.041666667E-3;-1.078072377E-2
9.062500000E-3;-8.818863891E-3
9.083333333E-3;-7.378551643E-3
9.104166667E-3;-7.611812092E-3
9.125000000E-3;-7.863502018E-3
9.145833333E-3;-7.649084553E-3
9.166666667E-3;-8.374365047E-3
9.187500000E-3;-9.960493073E-3
9.208333333E-3;-1.133847330E-2
9.229166667E-3;-1.254248060E-2
9.250000000E-3;-1.327128243E-2
9.270833333E-3;-1.351993531E-2
9.291666667E-3;-1.360081136E-2
9.312500000E-3;-1.314844750E-2
9.333333333E-3;-1.202603616E-2
9.354166667E-3;-1.082086656E-2
9.375000000E-3;-1.029640529E-2
9.395833333E-3;-1.015712135E-2
9.416666667E-3;-1.042260788E-2
9.437500000E-3;-1.136258617E-2
9.458333333E-3;-1.167208143E-2
9.479166667E-3;-1.081820391E-2
9.500000000E-3;-1.039569173E-2
9.520833333E-3;-1.116422098E-2
9.541666667E-3;-1.181691233E-2
9.562500000E-3;-1.165183727E-2
9.583333333E-3;-1.076793950E-2
9.604166667E-3;-9.341056459E-3
9.625000000E-3;-8.082433604E-3
9.645833333E-3;-7.337713148E-3
9.666666667E-3;-6.164499093E-3
9.687500000E-3;-4.866403993E-3
9.708333333E-3;-5.849263165E-3
9.729166667E-3;-7.422462106E-3
9.750000000E-3;-6.750773173E-3
9.770833333E-3;-5.806949455E-3
9.791666667E-3;-6.464108359E-3
9.812500000E-3;-7.927748375E-3
9.833333333E-3;-8.858163841E-3
9.854166667E-3;-1.007037796E-2
9.875000000E-3;-1.215394959E-2
9.895833333E-3;-1.276501175E-2
9.916666667E-3;-1.246786956E-2
9.937500000E-3;-1.431384217E-2
9.958333333E-3;-1.712015085E-2
9.979166667E-3;-1.768500917E-2
1.000000000E-2;-1.678187773E-2
1.002083333E-2;-1.711010933E-2
1.004166667E-2;-1.774127781E-2
1.006250000E-2;-1.689652912E-2
1.008333333E-2;-1.544427685E-2
1.010416667E-2;-1.386287529E-2
1.012500000E-2;-1.239479892E-2
1.014583333E-2;-1.179960649E-2
1.016666667E-2;-1.152479835E-2
1.018750000E-2;-1.083583757E-2
1.020833333E-2;-1.068781596E-2
1.022916667E-2;-1.191534474E-2
1.025000000E-2;-1.275158953E-2
1.027083333E-2;-1.212975197E-2
1.029166667E-2;-1.190965157E-2
1.031250000E-2;-1.258766465E-2
1.033333333E-2;-1.277070772E-2
1.035416667E-2;-1.218766440E-2
1.037500000E-2;-1.111000590E-2
1.039583333E-2;-8.755760267E-3
1.041666667E-2;-5.679705646E-3
1.043750000E-2;-4.795246292E-3
1.045833333E-2;-5.431189202E-3
1.047916667E-2;-4.039912019E-3
1.050000000E-2;-1.960298978E-3
1.052083333E-2;-2.399237128E-3
1.054166667E-2;-3.237988800E-3
1.056250000E-2;-2.151362132E-3
1.058333333E-2;-1.887512975E-3
1.060416667E-2;-2.948053647E-3
1.062500000E-2;-2.743003657E-3
1.064583333E-2;-1.710894285E-3
1.066666667E-2;-1.741120592E-3
1.068750000E-2;-2.782496158E-3
1.070833333E-2;-3.378986847E-3
1.072916667E-2;-3.420664929E-3
1.075000000E-2;-3.463949310E-3
1.077083333E-2;-3.462561406E-3
1.079166667E-2;-3.400690155E-3
1.081250000E-2;-2.561952686E-3
1.083333333E-2;-5.493185599E-4
1.085416667E-2;8.223760524E-4
1.087500000E-2;5.075303488E-4
1.089583333E-2;1.130212913E-3
1.091666667E-2;3.594601527E-3
1.093750000E-2;5.002836697E-3
1.095833333E-2;5.262517370E-3
1.097916667E-2;6.033435930E-3
1.100000000E-2;6.505389698E-3
1.102083333E-2;6.205036771E-3
1.104166667E-2;5.780652631E-3
1.106250000E-2;6.572888698E-3
1.108333333E-2;8.590129204E-3
1.110416667E-2;9.519611485E-3
1.112500000E-2;9.090642445E-3
1.114583333E-2;9.079388343E-3
1.116666667E-2;1.007656753E-2
1.118750000E-2;1.003314089E-2
1.120833333E-2;8.876470849E-3
1.122916667E-2;9.285080247E-3
1.125000000E-2;9.694127366E-3
1.127083333E-2;7.750410121E-3
1.129166667E-2;6.043928210E-3
1.131250000E-2;6.548866164E-3
1.133333333E-2;6.376689766E-3
1.135416667E-2;4.089192487E-3
1.137500000E-2;2.763269935E-3
1.139583333E-2;3.648609156E-3
1.141666667E-2;4.629104398E-3
1.143750000E-2;4.447354935E-3
