Fréquence (Hz);Niveau (dB)
97.572327;-50.569130
97.908783;-50.011299
98.245239;-49.812378
98.581696;-48.222122
98.918152;-46.073788
99.254608;-43.463249
99.591064;-43.602726
99.927521;-42.694027
100.263977;-42.518909
100.600433;-44.833740
100.936890;-44.115471
101.273346;-46.003162
101.609802;-49.088619
101.946259;-46.771713
102.282715;-42.610241
102.619171;-43.110794
102.955627;-46.500584
103.292084;-44.146450
103.628540;-44.276859
103.964996;-46.733185
104.301453;-46.670521
104.637909;-47.466633
104.974365;-46.647282
105.310822;-45.476124
105.647278;-45.497517
105.983734;-46.893089
106.320190;-44.294235
106.656647;-43.500122
106.993103;-46.239239
107.329559;-46.611874
107.666016;-47.017101
108.002472;-48.431168
108.338928;-47.133915
108.675385;-45.408432
109.011841;-46.206959
109.348297;-49.264744
109.684753;-47.326866
110.021210;-47.375603
110.357666;-49.925274
110.694122;-47.871990
111.030579;-49.387867
111.367035;-50.975746
111.703491;-46.873436
112.039948;-45.147697
112.376404;-48.242382
112.712860;-46.362839
113.049316;-47.453213
113.385773;-47.747723
113.722229;-45.923241
114.058685;-46.282879
114.395142;-46.792873
114.731598;-45.288395
115.068054;-45.064873
115.404510;-45.057224
115.740967;-45.703968
116.077423;-46.765373
116.413879;-47.688057
116.750336;-51.194904
117.086792;-50.672791
117.423248;-48.371246
117.759705;-47.027084
118.096161;-45.326504
118.432617;-43.148796
118.769073;-45.151192
119.105530;-45.382847
119.441986;-44.554825
119.778442;-46.988934
120.114899;-48.973007
120.451355;-52.119427
120.787811;-50.926472
121.124268;-48.582912
121.460724;-43.424706
121.797180;-43.959660
122.133636;-50.466370
122.470093;-51.883602
122.806549;-50.495193
123.143005;-52.309185
123.479462;-50.436108
123.815918;-49.347599
124.152374;-49.390663
124.488831;-46.908092
124.825287;-45.765968
125.161743;-47.764271
125.498199;-47.138409
125.834656;-46.444771
126.171112;-48.731861
126.507568;-49.305611
126.844025;-51.116100
127.180481;-51.378300
127.516937;-50.993080
127.853394;-49.500427
128.189850;-49.139557
128.526306;-49.794804
128.862762;-48.628494
129.199219;-47.811451
129.535675;-49.167423
129.872131;-47.940636
130.208588;-45.754436
130.545044;-45.295364
130.881500;-40.912125
131.217957;-38.532917
131.554413;-41.015339
131.890869;-42.045277
132.227325;-41.882988
132.563782;-44.871422
132.900238;-46.398193
133.236694;-45.735165
133.573151;-44.219028
133.909607;-45.882797
134.246063;-45.369793
134.582520;-43.748032
134.918976;-45.465313
135.255432;-48.327797
135.591888;-47.386456
135.928345;-47.684654
136.264801;-47.448246
136.601257;-47.624535
136.937714;-47.202259
137.274170;-46.594875
137.610626;-46.918064
137.947083;-46.156273
138.283539;-44.207188
138.619995;-43.323429
138.956451;-44.388187
139.292908;-47.028744
139.629364;-48.226715
139.965820;-50.265060
140.302277;-47.430321
140.638733;-42.838127
140.975189;-42.989735
141.311646;-47.399288
141.648102;-49.953300
141.984558;-48.348576
142.321014;-48.673618
142.657471;-49.864552
142.993927;-48.257694
143.330383;-49.451679
143.666840;-50.001053
144.003296;-50.241657
144.339752;-50.745193
144.676208;-50.388657
145.012665;-47.935925
145.349121;-49.458755
145.685577;-52.308136
146.022034;-51.911625
146.358490;-53.087357
146.694946;-50.572914
147.031403;-44.185970
147.367859;-43.944916
147.704315;-49.064705
148.040771;-50.854408
148.377228;-48.433655
148.713684;-48.271526
149.050140;-48.350594
149.386597;-47.000042
149.723053;-49.705364
150.059509;-48.843182
150.395966;-47.107632
150.732422;-49.866161
151.068878;-51.021400
151.405334;-46.774940
151.741791;-49.082581
152.078247;-52.439510
152.414703;-47.722477
152.751160;-48.689713
153.087616;-49.219090
153.424072;-45.170475
153.760529;-45.041542
154.096985;-49.472805
154.433441;-51.542084
154.769897;-51.596142
155.106354;-50.089523
155.442810;-48.341660
155.779266;-46.961483
156.115723;-46.659119
156.452179;-46.605808
156.788635;-46.953751
157.125092;-49.424023
157.461548;-49.683475
157.798004;-46.882778
158.134460;-49.659729
158.470917;-53.388988
158.807373;-52.342117
159.143829;-51.944023
159.480286;-49.026913
159.816742;-43.154118
160.153198;-43.212593
160.489655;-50.535690
160.826111;-51.525887
161.162567;-50.515381
161.499023;-50.246044
161.835480;-50.585243
162.171936;-50.919937
162.508392;-52.069767
162.844849;-51.179573
163.181305;-47.696075
163.517761;-50.703579
163.854218;-53.575306
164.190674;-50.999554
