Fréquence (Hz);Niveau (dB)
97.572327;-32.057018
97.908783;-31.152796
98.245239;-29.522905
98.581696;-26.820074
98.918152;-29.393177
99.254608;-30.549559
99.591064;-30.905357
99.927521;-30.732805
100.263977;-31.002731
100.600433;-32.129410
100.936890;-32.556015
101.273346;-32.646736
101.609802;-32.501537
101.946259;-32.523159
102.282715;-32.198479
102.619171;-32.501045
102.955627;-32.148571
103.292084;-30.500278
103.628540;-30.574814
103.964996;-31.458220
104.301453;-31.118986
104.637909;-32.611122
104.974365;-34.428707
105.310822;-33.798008
105.647278;-32.078426
105.983734;-32.967438
106.320190;-33.715958
106.656647;-33.922909
106.993103;-33.389999
107.329559;-32.770439
107.666016;-33.860329
108.002472;-32.779083
108.338928;-32.599129
108.675385;-31.307285
109.011841;-30.270477
109.348297;-30.042904
109.684753;-29.622786
110.021210;-28.395830
110.357666;-26.566122
110.694122;-27.944315
111.030579;-28.218662
111.367035;-27.631792
111.703491;-27.431036
112.039948;-25.527700
112.376404;-24.545378
112.712860;-24.777245
113.049316;-26.459984
113.385773;-28.369057
113.722229;-30.485947
114.058685;-30.766085
114.395142;-32.105484
114.731598;-31.751686
115.068054;-31.104345
115.404510;-32.353497
115.740967;-32.734001
116.077423;-32.931519
116.413879;-33.588398
116.750336;-34.351128
117.086792;-34.935925
117.423248;-33.662247
117.759705;-33.669384
118.096161;-34.614941
118.432617;-34.048592
118.769073;-34.816292
119.105530;-35.193958
119.441986;-34.789642
119.778442;-35.182251
120.114899;-37.224701
120.451355;-38.345608
120.787811;-38.160370
121.124268;-38.783772
121.460724;-39.613174
121.797180;-38.761986
122.133636;-37.874813
122.470093;-40.134632
122.806549;-40.354523
123.143005;-39.067707
123.479462;-39.967876
123.815918;-40.147758
124.152374;-41.098392
124.488831;-41.827507
124.825287;-40.511925
125.161743;-39.480473
125.498199;-37.601131
125.834656;-37.011894
126.171112;-37.086079
126.507568;-35.634281
126.844025;-34.482895
127.180481;-34.977215
127.516937;-35.554768
127.853394;-37.075764
128.189850;-37.016155
128.526306;-36.355591
128.862762;-35.152508
129.199219;-36.115707
129.535675;-38.857971
129.872131;-38.653564
130.208588;-37.869404
130.545044;-38.554920
130.881500;-39.127171
131.217957;-40.082630
131.554413;-40.787144
131.890869;-40.144066
132.227325;-40.380005
132.563782;-40.316940
132.900238;-39.253128
133.236694;-39.335949
133.573151;-39.082752
133.909607;-39.181976
134.246063;-39.130482
134.582520;-40.501980
134.918976;-40.370350
135.255432;-38.665417
135.591888;-37.434452
135.928345;-36.598354
136.264801;-37.143009
136.601257;-38.489338
136.937714;-38.760788
137.274170;-38.505516
137.610626;-38.672413
137.947083;-38.583511
138.283539;-38.122612
138.619995;-39.234283
138.956451;-41.385010
139.292908;-41.132229
139.629364;-38.614811
139.965820;-39.134579
140.302277;-40.684925
140.638733;-39.480167
140.975189;-38.085503
141.311646;-37.866611
141.648102;-38.467693
141.984558;-36.825630
142.321014;-35.982006
142.657471;-36.235657
142.993927;-34.914848
143.330383;-34.504555
143.666840;-35.049393
144.003296;-35.461567
144.339752;-34.360397
144.676208;-34.429649
145.012665;-34.797749
145.349121;-34.689968
145.685577;-34.868145
146.022034;-35.009121
146.358490;-33.681259
146.694946;-33.033981
147.031403;-33.975006
147.367859;-33.443340
147.704315;-33.472622
148.040771;-34.423424
148.377228;-34.848869
148.713684;-34.871330
149.050140;-35.950783
149.386597;-36.813068
149.723053;-36.157059
150.059509;-36.017109
150.395966;-36.229042
150.732422;-36.777245
151.068878;-38.032394
151.405334;-39.530041
151.741791;-39.705051
152.078247;-40.471367
152.414703;-39.830421
152.751160;-38.245228
153.087616;-38.268600
153.424072;-38.494713
153.760529;-39.935139
154.096985;-38.829468
154.433441;-38.996979
154.769897;-40.447578
155.106354;-39.678040
155.442810;-40.527283
155.779266;-40.534554
156.115723;-40.553524
156.452179;-39.860855
156.788635;-38.578323
157.125092;-38.766212
157.461548;-40.136673
157.798004;-41.490673
158.134460;-40.363739
158.470917;-39.952446
158.807373;-39.157642
159.143829;-38.282661
159.480286;-37.451191
159.816742;-38.006241
160.153198;-38.001465
160.489655;-39.192074
160.826111;-39.908955
161.162567;-39.193935
161.499023;-39.023041
161.835480;-37.836456
162.171936;-38.934715
162.508392;-39.681545
162.844849;-39.159992
163.181305;-39.422897
163.517761;-39.713223
