Fréquence (Hz);Niveau (dB)
97.572327;-37.904995
97.908783;-32.850704
98.245239;-40.102222
98.581696;-40.535599
98.918152;-41.643417
99.254608;-37.257042
99.591064;-37.619843
99.927521;-39.029606
100.263977;-41.098503
100.600433;-41.802822
100.936890;-34.224998
101.273346;-41.789597
101.609802;-39.293232
101.946259;-39.780151
102.282715;-38.056175
102.619171;-31.383039
102.955627;-36.431774
103.292084;-36.320210
103.628540;-35.208569
103.964996;-36.417244
104.301453;-36.922085
104.637909;-39.801147
104.974365;-42.623775
105.310822;-41.140579
105.647278;-35.987797
105.983734;-39.914684
106.320190;-40.501808
106.656647;-39.793533
106.993103;-39.231461
107.329559;-34.246868
107.666016;-41.324604
108.002472;-37.774891
108.338928;-37.784275
108.675385;-35.427624
109.011841;-33.185955
109.348297;-33.300179
109.684753;-29.988613
110.021210;-28.563604
110.357666;-27.907198
110.694122;-31.713812
111.030579;-34.968372
111.367035;-36.774281
111.703491;-35.805050
112.039948;-31.398668
112.376404;-39.465569
112.712860;-39.692047
113.049316;-36.304893
113.385773;-38.019173
113.722229;-30.481104
114.058685;-41.498749
114.395142;-39.958447
114.731598;-34.161289
115.068054;-32.846622
115.404510;-35.824493
115.740967;-37.887096
116.077423;-37.709473
116.413879;-35.046833
116.750336;-30.826605
117.086792;-38.753635
117.423248;-39.664680
117.759705;-36.347343
118.096161;-38.969151
118.432617;-30.655437
118.769073;-41.338734
119.105530;-38.450504
119.441986;-32.632679
119.778442;-35.512939
120.114899;-34.358582
120.451355;-38.740467
120.787811;-37.336979
121.124268;-33.435638
121.460724;-31.103786
121.797180;-35.104950
122.133636;-36.584217
122.470093;-33.183186
122.806549;-31.001539
123.143005;-28.021284
123.479462;-30.330278
123.815918;-31.006559
124.152374;-32.439304
124.488831;-36.533592
124.825287;-35.160164
125.161743;-38.424335
125.498199;-36.620586
125.834656;-33.468899
126.171112;-34.856754
126.507568;-39.027607
126.844025;-40.714706
127.180481;-37.937134
127.516937;-39.450108
127.853394;-35.322594
128.189850;-43.965004
128.526306;-43.452751
128.862762;-35.505100
129.199219;-45.518486
129.535675;-38.011745
129.872131;-42.086803
130.208588;-39.234905
130.545044;-34.056458
130.881500;-37.627041
131.217957;-37.811073
131.554413;-41.196564
131.890869;-37.902916
132.227325;-36.286217
132.563782;-34.993336
132.900238;-40.302197
133.236694;-41.004524
133.573151;-33.026806
133.909607;-42.813435
134.246063;-35.804626
134.582520;-39.354515
134.918976;-36.143532
135.255432;-29.894413
135.591888;-37.108902
135.928345;-37.165787
136.264801;-40.243896
136.601257;-34.656254
136.937714;-32.532467
137.274170;-33.853867
137.610626;-37.455879
137.947083;-36.640411
138.283539;-28.778107
138.619995;-35.407440
138.956451;-32.153976
139.292908;-34.093761
139.629364;-35.312946
139.965820;-28.361002
140.302277;-37.715981
140.638733;-37.926392
140.975189;-37.997440
141.311646;-36.241116
141.648102;-32.758530
141.984558;-39.297974
142.321014;-40.057831
142.657471;-40.303467
142.993927;-33.039970
143.330383;-38.508812
143.666840;-38.381367
144.003296;-39.049232
144.339752;-35.954285
144.676208;-30.050484
145.012665;-34.925602
145.349121;-32.822346
145.685577;-34.938923
146.022034;-38.056984
146.358490;-33.545700
146.694946;-37.649265
147.031403;-37.765198
147.367859;-37.249256
147.704315;-33.528999
148.040771;-35.991665
148.377228;-39.513123
148.713684;-40.835453
149.050140;-38.913326
149.386597;-32.841007
149.723053;-40.292168
150.059509;-41.411385
150.395966;-39.381203
150.732422;-41.759056
151.068878;-33.634407
151.405334;-44.226070
151.741791;-42.075191
152.078247;-36.699673
152.414703;-36.836563
152.751160;-36.996796
153.087616;-40.630981
153.424072;-40.836613
153.760529;-36.290752
154.096985;-33.039700
154.433441;-38.736877
154.769897;-41.446365
155.106354;-38.471127
155.442810;-41.075535
155.779266;-33.228062
156.115723;-43.836182
156.452179;-42.752308
156.788635;-36.350842
157.125092;-40.195534
157.461548;-38.325970
157.798004;-42.129551
158.134460;-42.222137
158.470917;-36.543068
158.807373;-36.515457
159.143829;-40.884098
159.480286;-44.210400
159.816742;-38.851448
160.153198;-42.389809
160.489655;-35.146996
160.826111;-45.718391
161.162567;-44.498363
161.499023;-36.111912
161.835480;-43.586094
162.171936;-39.079075
162.508392;-42.046337
162.844849;-40.680965
163.181305;-35.804909
163.517761;-37.454689
163.854218;-38.993942
164.190674;-41.803940
164.527130;-39.358757
164.863586;-39.112366
165.200043;-36.636749
165.536499;-37.628544
165.872955;-39.986240
166.209412;-36.388699
166.545868;-45.098862
166.882324;-40.938053
167.218781;-42.428837
167.555237;-41.795696
167.891693;-37.949230
168.228149;-41.680927
168.564606;-40.522472
168.901062;-46.060188
169.237518;-39.764137
169.573975;-38.866531
169.910431;-39.024090
170.246887;-44.269409
170.583344;-44.369057
170.919800;-35.267269
171.256256;-44.489433
171.592712;-39.083530
171.929169;-42.151360
172.265625;-40.271111
172.602081;-34.815350
172.938538;-42.301655
173.274994;-39.655468
173.611450;-43.335899
173.947906;-40.156677
174.284363;-35.562912
174.620819;-39.843735
174.957275;-41.243164
175.293732;-40.394520
175.630188;-33.338131
175.966644;-42.946320
176.303101;-41.312260
176.639557;-41.296364
176.976013;-39.716553
177.312469;-37.456257
177.648926;-43.797691
177.985382;-38.927544
178.321838;-41.312267
178.658295;-40.167522
178.994751;-35.147835
179.331207;-42.886604
179.667664;-42.425812
180.004120;-41.632126
180.340576;-34.735516
180.677032;-46.004150
181.013489;-43.510773
181.349945;-42.204964
181.686401;-41.613045
182.022858;-38.279316
182.359314;-42.664917
182.695770;-39.247158
183.032227;-37.983452
183.368683;-38.705395
183.705139;-33.570084
184.041595;-40.181194
184.378052;-39.312080
184.714508;-35.570499
185.050964;-32.898926
185.387421;-34.393852
185.723877;-33.952702
186.060333;-38.691246
186.396790;-37.336975
186.733246;-36.219601
187.069702;-38.646809
187.406158;-38.404995
187.742615;-36.296600
188.079071;-40.239468
188.415527;-34.593426
188.751984;-42.640984
189.088440;-39.537132
189.424896;-40.608223
189.761353;-42.425751
190.097809;-37.856380
190.434265;-42.472828
190.770721;-39.750629
191.107178;-38.099064
191.443634;-35.648945
191.780090;-39.427330
192.116547;-43.309818
192.453003;-36.917393
192.789459;-42.723217
193.125916;-37.026756
193.462372;-43.860367
193.798828;-43.240517
194.135284;-41.491047
194.471741;-44.524284
194.808197;-39.292263
195.144653;-44.093533
195.481110;-41.923252
195.817566;-37.815224
196.154022;-37.002674
196.490479;-40.188473
196.826935;-45.202534
197.163391;-36.237579
197.499847;-44.794373
197.836304;-40.753654
198.172760;-43.122452
198.509216;-42.986839
198.845673;-42.077385
199.182129;-46.401268
199.518585;-36.693462
199.855042;-44.274742
200.191498;-40.190468
200.527954;-36.127640
