Fréquence (Hz);Niveau (dB)
97.572327;-29.412657
97.908783;-28.974915
98.245239;-27.012554
98.581696;-26.803289
98.918152;-33.092995
99.254608;-38.090542
99.591064;-32.529861
99.927521;-28.156651
100.263977;-29.192438
100.600433;-28.862402
100.936890;-26.368944
101.273346;-25.070330
101.609802;-24.022594
101.946259;-19.696836
102.282715;-16.497238
102.619171;-16.857319
102.955627;-17.559904
103.292084;-20.463934
103.628540;-21.559059
103.964996;-18.021410
104.301453;-15.896465
104.637909;-16.275568
104.974365;-18.724363
105.310822;-22.425255
105.647278;-25.231453
105.983734;-23.057402
106.320190;-23.077559
106.656647;-24.192495
106.993103;-25.054094
107.329559;-28.028667
107.666016;-29.650394
108.002472;-30.557926
108.338928;-30.706615
108.675385;-31.300690
109.011841;-32.636307
109.348297;-34.411961
109.684753;-38.995922
110.021210;-32.507820
110.357666;-30.577717
110.694122;-30.844774
111.030579;-32.535545
111.367035;-32.064461
111.703491;-31.486082
112.039948;-34.133690
112.376404;-38.641521
112.712860;-36.895714
113.049316;-37.190582
113.385773;-38.473431
113.722229;-38.885185
114.058685;-39.683498
114.395142;-35.983921
114.731598;-34.648731
115.068054;-40.390747
115.404510;-40.243214
115.740967;-36.468582
116.077423;-34.139008
116.413879;-38.201832
116.750336;-41.254974
117.086792;-37.820316
117.423248;-38.129963
117.759705;-42.385704
118.096161;-43.081779
118.432617;-41.599152
118.769073;-41.480911
119.105530;-39.670589
119.441986;-39.849358
119.778442;-38.553493
120.114899;-37.830238
120.451355;-41.619289
120.787811;-39.704498
121.124268;-38.528214
121.460724;-42.593925
121.797180;-41.381233
122.133636;-42.248089
122.470093;-42.068512
122.806549;-38.979931
123.143005;-43.491383
123.479462;-40.954475
123.815918;-36.561176
124.152374;-35.491966
124.488831;-31.907738
124.825287;-31.482855
125.161743;-32.782459
125.498199;-36.981609
125.834656;-35.186264
126.171112;-34.532619
126.507568;-33.209820
126.844025;-32.608330
127.180481;-35.406532
127.516937;-32.898972
127.853394;-30.212934
128.189850;-25.937237
128.526306;-26.238333
128.862762;-25.023619
129.199219;-24.916101
129.535675;-27.236313
129.872131;-28.626797
130.208588;-23.465763
130.545044;-22.024916
130.881500;-21.030113
131.217957;-21.653830
131.554413;-24.600590
131.890869;-25.483595
132.227325;-28.389574
132.563782;-25.821793
132.900238;-24.363138
133.236694;-24.408377
133.573151;-25.351948
133.909607;-27.690512
134.246063;-30.990030
134.582520;-29.085838
134.918976;-30.363195
135.255432;-30.907564
135.591888;-29.118189
135.928345;-29.885023
136.264801;-33.357880
136.601257;-28.557388
136.937714;-29.857058
137.274170;-31.241068
137.610626;-28.653198
137.947083;-30.627787
138.283539;-30.437105
138.619995;-30.738163
138.956451;-34.799389
139.292908;-34.134693
139.629364;-31.809637
139.965820;-33.754520
140.302277;-31.266516
140.638733;-29.128618
140.975189;-30.309996
141.311646;-30.408100
141.648102;-31.852554
141.984558;-34.648121
142.321014;-35.478191
142.657471;-34.228859
142.993927;-33.769733
143.330383;-33.922016
143.666840;-34.239822
144.003296;-34.672550
144.339752;-34.607655
144.676208;-32.264210
145.012665;-30.155838
145.349121;-30.380442
145.685577;-28.466686
146.022034;-29.116257
146.358490;-30.707403
146.694946;-32.765545
147.031403;-36.539169
147.367859;-35.833839
147.704315;-34.206078
148.040771;-35.998360
148.377228;-35.113167
148.713684;-33.443626
149.050140;-34.929253
149.386597;-39.458202
149.723053;-36.273426
150.059509;-32.821377
150.395966;-29.659704
150.732422;-28.555862
151.068878;-29.190538
151.405334;-27.797743
151.741791;-29.379042
152.078247;-28.437159
152.414703;-30.471060
152.751160;-29.590689
153.087616;-28.981407
153.424072;-28.559814
153.760529;-28.980303
154.096985;-29.722055
154.433441;-32.066185
154.769897;-32.460812
155.106354;-35.938183
155.442810;-36.214825
155.779266;-37.821636
156.115723;-33.929821
156.452179;-32.045128
156.788635;-30.267067
157.125092;-29.372128
157.461548;-28.935816
157.798004;-30.115952
158.134460;-31.677746
158.470917;-32.504070
158.807373;-33.144821
159.143829;-33.478111
159.480286;-32.632923
159.816742;-32.672398
160.153198;-34.609165
160.489655;-31.367558
160.826111;-31.005602
161.162567;-29.349537
161.499023;-29.588427
161.835480;-30.890745
162.171936;-28.524874
162.508392;-31.679882
162.844849;-33.594757
163.181305;-38.171669
163.517761;-34.285259
163.854218;-33.044468
164.190674;-31.787142
164.527130;-34.927235
164.863586;-37.422646
165.200043;-35.990288
165.536499;-32.490555
165.872955;-29.346640
166.209412;-29.564466
166.545868;-28.188972
166.882324;-27.795925
167.218781;-28.849119
167.555237;-28.613678
167.891693;-31.665020
168.228149;-29.719608
168.564606;-27.420275
168.901062;-32.442448
169.237518;-28.567852
169.573975;-26.968773
169.910431;-33.263485
170.246887;-30.036945
170.583344;-28.190392
170.919800;-28.343821
171.256256;-27.955933
171.592712;-28.345833
171.929169;-30.633789
172.265625;-28.726482
172.602081;-25.963923
172.938538;-28.176430
173.274994;-31.508625
173.611450;-30.120687
173.947906;-31.955698
174.284363;-32.382023
174.620819;-31.980082
174.957275;-29.314938
175.293732;-28.510435
175.630188;-27.516346
175.966644;-29.808176
176.303101;-31.377579
