Fréquence (Hz);Niveau (dB)
106.201172;-40.362999
106.567383;-30.402626
106.933594;-32.882626
107.299805;-42.014984
107.666016;-40.021996
108.032227;-41.959579
108.398438;-36.294674
108.764648;-30.009235
109.130859;-34.336552
109.497070;-43.037663
109.863281;-42.514748
110.229492;-44.480377
110.595703;-34.986645
110.961914;-29.702847
111.328125;-36.186577
111.694336;-42.126030
112.060547;-41.984844
112.426758;-42.713852
112.792969;-33.218285
113.159180;-30.330576
113.525391;-38.918053
113.891602;-42.111855
114.257812;-39.731098
114.624023;-39.264179
114.990234;-30.530331
115.356445;-29.658321
115.722656;-34.940990
116.088867;-32.770927
116.455078;-30.813622
116.821289;-31.466402
117.187500;-30.219851
117.553711;-32.620869
117.919922;-39.044952
118.286133;-37.912865
118.652344;-38.746204
119.018555;-36.598557
119.384766;-29.521646
119.750977;-32.759144
120.117188;-42.356754
120.483398;-42.133018
120.849609;-44.544060
121.215820;-36.786377
121.582031;-30.699757
121.948242;-35.320961
122.314453;-42.496540
122.680664;-42.197414
123.046875;-44.511387
123.413086;-34.479630
123.779297;-30.784832
124.145508;-38.111698
124.511719;-44.839909
124.877930;-44.428707
125.244141;-41.633678
125.610352;-32.706699
125.976562;-30.773041
126.342773;-36.727016
126.708984;-38.135609
127.075195;-39.320869
127.441406;-38.618889
127.807617;-31.983301
128.173828;-31.741426
128.540039;-35.619102
128.906250;-33.332703
129.272461;-33.085823
129.638672;-31.648840
130.004883;-29.269014
130.371094;-28.638420
130.737305;-28.335951
131.103516;-29.569853
131.469727;-30.259535
131.835938;-28.898190
132.202148;-27.286715
132.568359;-29.923576
132.934570;-34.742992
133.300781;-37.642750
133.666992;-38.381855
134.033203;-34.500839
134.399414;-30.416235
134.765625;-35.720314
135.131836;-39.927555
135.498047;-41.360512
135.864258;-42.648182
136.230469;-34.032093
136.596680;-30.776306
136.962891;-38.852135
137.329102;-45.702370
137.695312;-46.446976
138.061523;-44.552837
138.427734;-32.349472
138.793945;-30.734684
139.160156;-41.153255
139.526367;-43.014389
139.892578;-43.300163
140.258789;-43.366463
140.625000;-32.184559
140.991211;-32.619045
141.357422;-42.559036
141.723633;-44.404251
142.089844;-45.762524
142.456055;-39.556282
142.822266;-32.489014
143.188477;-34.913795
143.554688;-43.668369
143.920898;-42.843399
144.287109;-41.820812
144.653320;-36.766434
145.019531;-31.957239
145.385742;-35.019558
145.751953;-35.948849
146.118164;-33.305290
146.484375;-31.967199
146.850586;-31.744932
147.216797;-30.087374
147.583008;-32.222240
147.949219;-33.671181
148.315430;-34.726341
148.681641;-36.552460
149.047852;-33.872677
149.414062;-32.525070
149.780273;-39.766487
150.146484;-42.649193
150.512695;-42.192501
150.878906;-41.665981
151.245117;-35.074547
151.611328;-33.841576
151.977539;-41.047199
152.343750;-40.200626
152.709961;-39.917503
153.076172;-38.259205
153.442383;-32.389900
153.808594;-32.407898
154.174805;-35.710072
154.541016;-33.683533
154.907227;-31.953157
155.273438;-30.464581
155.639648;-29.014105
156.005859;-31.845619
156.372070;-37.086617
156.738281;-37.138813
157.104492;-36.564545
157.470703;-35.054897
157.836914;-32.122498
158.203125;-36.500694
158.569336;-41.002560
158.935547;-39.833462
159.301758;-40.071850
159.667969;-36.341858
160.034180;-33.427624
160.400391;-38.249573
160.766602;-41.992458
161.132812;-40.525726
161.499023;-39.922104
161.865234;-33.388462
162.231445;-31.375820
162.597656;-36.579586
162.963867;-35.382378
163.330078;-33.840244
163.696289;-34.776409
164.062500;-32.894238
164.428711;-33.836014
164.794922;-41.437305
165.161133;-39.883503
165.527344;-40.375931
165.893555;-42.162498
166.259766;-33.886234
166.625977;-35.027401
166.992188;-40.267467
167.358398;-39.228798
167.724609;-41.390747
168.090820;-40.906235
168.457031;-33.634411
168.823242;-36.700764
169.189453;-42.378529
169.555664;-40.389317
169.921875;-41.236687
170.288086;-36.680405
170.654297;-31.771412
171.020508;-34.727001
171.386719;-37.145203
171.752930;-36.900948
172.119141;-38.219902
172.485352;-34.962601
172.851562;-32.358269
173.217773;-33.188641
173.583984;-33.699093
173.950195;-34.183048
174.316406;-34.602573
174.682617;-33.978012
175.048828;-32.804924
175.415039;-32.571587
175.781250;-33.097416
176.147461;-34.349319
176.513672;-35.070221
176.879883;-32.411263
177.246094;-32.639778
177.612305;-37.247093
177.978516;-37.771805
178.344727;-38.328171
178.710938;-37.992390
179.077148;-33.103340
179.443359;-34.521317
179.809570;-41.477676
180.175781;-41.874157
180.541992;-43.050770
180.908203;-40.710735
181.274414;-35.000137
181.640625;-38.116379
182.006836;-41.790089
182.373047;-39.027672
182.739258;-40.203835
183.105469;-38.636116
183.471680;-34.080158
183.837891;-39.381191
184.204102;-43.674240
184.570312;-42.904385
184.936523;-43.565880
185.302734;-38.285923
185.668945;-34.766586
186.035156;-40.176414
186.401367;-44.230759
186.767578;-44.929001
187.133789;-44.068916
187.500000;-36.708717
187.866211;-35.448597
188.232422;-42.311615
188.598633;-44.384117
188.964844;-43.328789
189.331055;-41.408348
189.697266;-36.451553
190.063477;-36.217365
190.429688;-40.555645
190.795898;-41.870899
191.162109;-40.251400
191.528320;-38.540226
191.894531;-35.967133
192.260742;-36.140072
192.626953;-36.765617
192.993164;-35.567818
193.359375;-35.365196
193.725586;-34.075439
194.091797;-32.785526
194.458008;-33.208618
194.824219;-34.002167
195.190430;-30.822477
195.556641;-29.499636
195.922852;-30.248791
196.289062;-30.520096
196.655273;-31.029032
197.021484;-31.663000
197.387695;-32.813282
197.753906;-33.700375
198.120117;-33.675846
198.486328;-34.188965
198.852539;-36.470482
199.218750;-38.340786
199.584961;-39.285419
199.951172;-39.344505
200.317383;-38.482555
200.683594;-38.110859
201.049805;-39.016411
201.416016;-40.494362
201.782227;-42.715591
202.148438;-42.156567
202.514648;-39.756947
202.880859;-38.779541
203.247070;-40.354115
203.613281;-41.917755
203.979492;-43.322315
204.345703;-42.720711
204.711914;-40.002392
205.078125;-40.676830
205.444336;-42.672935
205.810547;-42.865715
206.176758;-44.036045
206.542969;-42.667549
206.909180;-39.932911
207.275391;-43.482784
207.641602;-42.243111
208.007812;-41.920429
208.374023;-44.930698
208.740234;-41.844677
209.106445;-38.162712
209.472656;-42.851254
209.838867;-45.096989
210.205078;-45.186893
210.571289;-44.625900
210.937500;-39.568909
211.303711;-38.061123
211.669922;-43.084892
212.036133;-43.525276
212.402344;-44.005470
212.768555;-42.826527
213.134766;-37.895451
213.500977;-37.390545
213.867188;-42.533863
214.233398;-42.689899
214.599609;-44.810452
214.965820;-42.320793
215.332031;-35.841000
215.698242;-37.239956
216.064453;-41.847610
216.430664;-39.141827
216.796875;-38.818096
217.163086;-38.050461
217.529297;-36.829140
217.895508;-38.408417
218.261719;-37.934822
218.627930;-35.881527
218.994141;-35.484360
219.360352;-34.298355
219.726562;-32.477230
220.092773;-34.844036
220.458984;-35.737663
220.825195;-35.927608
221.191406;-38.311317
221.557617;-36.443691
221.923828;-33.751202
222.290039;-37.914177
222.656250;-41.160702
223.022461;-40.558136
223.388672;-38.652100
223.754883;-35.697670
224.121094;-35.916065
224.487305;-40.467747
224.853516;-40.096428
225.219727;-39.585548
225.585938;-38.728577
225.952148;-35.273136
226.318359;-36.014305
226.684570;-42.414715
227.050781;-41.302906
227.416992;-40.465748
227.783203;-41.146004
228.149414;-34.606426
228.515625;-35.484051
228.881836;-37.727642
229.248047;-36.355286
229.614258;-37.559464
229.980469;-41.316483
230.346680;-36.294708
230.712891;-35.672123
231.079102;-34.384949
231.445312;-35.256096
231.811523;-36.999077
232.177734;-33.410862
232.543945;-30.591578
232.910156;-31.578575
233.276367;-33.092182
233.642578;-31.500099
234.008789;-32.387440
234.375000;-34.007481
234.741211;-34.145927
235.107422;-36.747456
235.473633;-37.766754
235.839844;-39.199097
236.206055;-40.619698
236.572266;-38.872852
236.938477;-37.726891
237.304688;-41.391609
237.670898;-44.707672
238.037109;-43.385506
238.403320;-41.990181
238.769531;-39.049271
239.135742;-39.210297
239.501953;-44.805607
239.868164;-46.752457
240.234375;-45.238579
240.600586;-44.904503
240.966797;-40.594105
241.333008;-40.571690
241.699219;-44.008724
242.065430;-44.573864
242.431641;-43.102516
242.797852;-44.320267
243.164062;-39.953766
243.530273;-40.780743
243.896484;-40.012203
244.262695;-38.676144
244.628906;-39.542412
244.995117;-39.262775
245.361328;-37.633797
245.727539;-38.293262
246.093750;-38.957405
246.459961;-39.480518
246.826172;-41.469875
247.192383;-41.760067
247.558594;-39.736881
247.924805;-43.200417
248.291016;-45.159763
248.657227;-44.700222
249.023438;-44.559151
249.389648;-41.161945
249.755859;-40.149418
250.122070;-44.534134
250.488281;-43.931156
250.854492;-43.804188
251.220703;-44.925598
251.586914;-39.934696
251.953125;-40.355846
252.319336;-43.589687
252.685547;-43.156132
253.051758;-44.275059
253.417969;-45.484612
253.784180;-40.128277
254.150391;-41.846943
254.516602;-44.436890
254.882812;-42.250546
255.249023;-42.991314
255.615234;-44.043308
255.981445;-39.496449
256.347656;-42.622623
256.713867;-43.970985
257.080078;-43.360279
