Fréquence (Hz);Niveau (dB)
97.572327;-30.617535
97.908783;-25.060865
98.245239;-26.282522
98.581696;-33.787838
98.918152;-38.275955
99.254608;-41.323612
99.591064;-38.268784
99.927521;-38.551376
100.263977;-44.223789
100.600433;-42.174183
100.936890;-37.435837
101.273346;-40.973980
101.609802;-40.043087
101.946259;-42.224205
102.282715;-42.962883
102.619171;-38.704330
102.955627;-42.437172
103.292084;-44.475849
103.628540;-43.220474
103.964996;-42.888935
104.301453;-38.492008
104.637909;-40.447933
104.974365;-43.924385
105.310822;-40.701218
105.647278;-37.604580
105.983734;-39.297661
106.320190;-38.815990
106.656647;-39.625511
106.993103;-39.168137
107.329559;-34.598629
107.666016;-39.867290
108.002472;-44.074062
108.338928;-39.984520
108.675385;-38.731823
109.011841;-36.006157
109.348297;-37.809887
109.684753;-31.673870
110.021210;-30.336092
110.357666;-33.623997
110.694122;-37.770180
111.030579;-39.494282
111.367035;-40.055908
111.703491;-40.049374
112.039948;-36.552181
112.376404;-42.709347
112.712860;-44.628326
113.049316;-40.185913
113.385773;-40.871998
113.722229;-37.262177
114.058685;-42.028870
114.395142;-45.777172
114.731598;-38.186619
115.068054;-37.643269
115.404510;-38.827259
115.740967;-40.419830
116.077423;-42.077091
116.413879;-41.049862
116.750336;-38.042778
117.086792;-43.827847
117.423248;-44.347496
117.759705;-40.841610
118.096161;-42.135925
118.432617;-39.015038
118.769073;-44.690933
119.105530;-46.723610
119.441986;-39.909603
119.778442;-40.602947
120.114899;-40.094280
120.451355;-42.759838
120.787811;-44.311333
121.124268;-41.669029
121.460724;-39.665253
121.797180;-42.662052
122.133636;-42.664478
122.470093;-39.775307
122.806549;-39.676189
123.143005;-34.741753
123.479462;-32.155346
123.815918;-34.717369
124.152374;-37.957115
124.488831;-40.166901
124.825287;-40.169235
125.161743;-43.723110
125.498199;-45.753975
125.834656;-40.018269
126.171112;-39.971489
126.507568;-44.818142
126.844025;-45.051979
127.180481;-41.727524
127.516937;-42.187634
127.853394;-39.973324
128.189850;-44.648014
128.526306;-43.689831
128.862762;-40.245121
129.199219;-42.463821
129.535675;-43.025105
129.872131;-45.150139
130.208588;-42.358608
130.545044;-35.706177
130.881500;-35.166172
131.217957;-38.756859
131.554413;-42.649837
131.890869;-41.746815
132.227325;-40.018452
132.563782;-39.665737
132.900238;-44.922375
133.236694;-45.349045
133.573151;-41.148460
133.909607;-43.783905
134.246063;-42.681152
134.582520;-46.543930
134.918976;-46.919876
135.255432;-41.769791
135.591888;-42.971607
135.928345;-41.145489
136.264801;-43.359581
136.601257;-43.939098
136.937714;-40.857544
137.274170;-41.827999
137.610626;-47.988087
137.947083;-43.917019
138.283539;-39.671787
138.619995;-43.196293
138.956451;-43.002476
139.292908;-45.441723
139.629364;-45.820915
139.965820;-41.623417
140.302277;-43.512680
140.638733;-41.925488
140.975189;-43.284023
141.311646;-41.943607
141.648102;-38.729073
141.984558;-40.585167
142.321014;-41.762836
142.657471;-39.758053
142.993927;-37.022133
143.330383;-41.138088
143.666840;-41.161175
144.003296;-40.268169
144.339752;-41.690033
144.676208;-41.797169
145.012665;-38.407925
145.349121;-35.866364
145.685577;-38.528645
146.022034;-38.034161
146.358490;-33.797173
146.694946;-35.543480
147.031403;-36.770374
147.367859;-37.122910
147.704315;-36.550259
148.040771;-40.409531
148.377228;-42.541561
148.713684;-41.741512
149.050140;-40.814568
149.386597;-38.748756
149.723053;-42.169720
150.059509;-41.610977
150.395966;-39.718124
150.732422;-40.673119
151.068878;-37.733612
151.405334;-43.039043
151.741791;-45.991699
152.078247;-39.822868
152.414703;-39.450615
152.751160;-43.020733
153.087616;-43.754841
153.424072;-44.344009
153.760529;-41.029831
154.096985;-38.850510
154.433441;-43.318863
154.769897;-42.949528
155.106354;-39.620705
155.442810;-39.609623
155.779266;-37.174839
156.115723;-43.673969
156.452179;-46.066170
156.788635;-38.923183
