Fréquence (Hz);Niveau (dB)
0.336456;-48.025768
0.672913;-47.166992
1.009369;-48.686646
1.345825;-47.507565
1.682281;-44.085945
2.018738;-43.856121
2.355194;-49.064941
2.691650;-49.240658
3.028107;-45.957153
3.364563;-47.141373
3.701019;-48.800171
4.037476;-44.821129
4.373932;-41.108910
4.710388;-41.236794
5.046844;-41.178974
5.383301;-40.240829
5.719757;-42.219994
6.056213;-44.360985
6.392670;-45.548668
6.729126;-42.545277
7.065582;-41.066521
7.402039;-40.765163
7.738495;-40.868130
8.074951;-40.544353
8.411407;-41.531528
8.747864;-41.702400
9.084320;-40.589569
9.420776;-39.984402
9.757233;-42.073891
10.093689;-40.881207
10.430145;-42.337215
10.766602;-40.111038
11.103058;-39.589584
11.439514;-41.520947
11.775970;-40.574566
12.112427;-39.668110
12.448883;-37.515697
12.785339;-38.873970
13.121796;-37.715347
13.458252;-35.883472
13.794708;-30.843027
14.131165;-29.506641
14.467621;-32.385273
14.804077;-38.512177
15.140533;-37.222092
15.476990;-31.266840
15.813446;-29.645582
16.149902;-26.045258
16.486359;-25.370958
16.822815;-29.341597
17.159271;-32.653709
17.495728;-34.438393
17.832184;-27.080542
18.168640;-26.379463
18.505096;-25.034552
18.841553;-24.616402
19.178009;-30.258703
19.514465;-29.057997
19.850922;-30.437567
20.187378;-27.665676
20.523834;-27.913048
20.860291;-28.241190
21.196747;-27.625975
21.533203;-31.359238
21.869659;-29.688604
22.206116;-29.987539
22.542572;-30.017956
22.879028;-30.160017
23.215485;-29.886559
23.551941;-30.232359
23.888397;-28.905521
24.224854;-29.488195
24.561310;-30.292992
24.897766;-26.573965
25.234222;-25.169880
25.570679;-28.289446
25.907135;-28.056393
26.243591;-25.090542
26.580048;-25.526812
26.916504;-24.636892
27.252960;-24.247126
27.589417;-25.260874
27.925873;-29.913223
28.262329;-31.249203
28.598785;-26.123737
28.935242;-23.485884
29.271698;-23.397745
29.608154;-23.604460
29.944611;-24.817518
30.281067;-29.560120
30.617523;-29.277056
30.953979;-26.021530
31.290436;-24.885160
31.626892;-26.404301
31.963348;-28.061377
32.299805;-26.846619
32.636261;-24.701668
32.972717;-24.804565
33.309174;-27.515198
33.645630;-29.977421
33.982086;-29.194933
34.318542;-29.459387
34.654999;-28.101252
34.991455;-26.228369
35.327911;-26.692671
35.664368;-28.919086
36.000824;-30.108702
36.337280;-26.841261
36.673737;-25.073833
37.010193;-27.901724
37.346649;-32.784618
37.683105;-34.363796
38.019562;-33.106541
38.356018;-32.930958
38.692474;-34.421833
39.028931;-31.308918
39.365387;-33.003872
39.701843;-35.757042
40.038300;-36.515835
40.374756;-35.340008
40.711212;-33.618187
41.047668;-35.562260
41.384125;-32.365318
41.720581;-32.927509
42.057037;-35.557323
42.393494;-37.669323
42.729950;-32.023487
43.066406;-30.682476
43.402863;-28.831278
43.739319;-30.336916
44.075775;-35.076401
44.412231;-39.449821
44.748688;-37.528023
45.085144;-37.105495
45.421600;-35.023453
45.758057;-32.836750
46.094513;-32.552876
46.430969;-33.758091
46.767426;-36.195770
47.103882;-38.526539
47.440338;-39.142441
47.776794;-37.053215
48.113251;-37.057533
48.449707;-39.633854
48.786163;-38.568436
49.122620;-35.957729
49.459076;-38.227730
49.795532;-38.440498
50.131989;-38.825138
50.468445;-40.303516
50.804901;-35.305077
51.141357;-34.090908
51.477814;-34.006638
51.814270;-33.196983
52.150726;-31.735825
52.487183;-31.011635
52.823639;-32.003929
53.160095;-32.425880
53.496552;-33.136276
53.833008;-31.670706
54.169464;-27.802328
54.505920;-24.160320
54.842377;-20.020077
55.178833;-20.009790
55.515289;-22.095106
55.851746;-25.989571
56.188202;-27.252361
56.524658;-31.145924
56.861115;-32.107910
57.197571;-29.063011
