Fréquence (Hz);Niveau (dB)
97.572327;-53.154488
97.908783;-52.249199
98.245239;-53.715481
98.581696;-57.142601
98.918152;-55.683910
99.254608;-58.125927
99.591064;-59.257858
99.927521;-54.391342
100.263977;-53.139675
100.600433;-56.210850
100.936890;-58.599751
101.273346;-57.312397
101.609802;-58.020096
101.946259;-59.632572
102.282715;-53.540871
102.619171;-49.570251
102.955627;-48.711399
103.292084;-47.162449
103.628540;-45.473785
103.964996;-47.670284
104.301453;-52.172066
104.637909;-49.428120
104.974365;-51.490990
105.310822;-54.622562
105.647278;-56.097912
105.983734;-55.472652
106.320190;-50.640396
106.656647;-48.866341
106.993103;-51.919632
107.329559;-55.295258
107.666016;-56.257065
108.002472;-58.231800
108.338928;-59.438576
108.675385;-61.085423
109.011841;-60.308819
109.348297;-56.132755
109.684753;-57.132957
110.021210;-62.276962
110.357666;-60.933594
110.694122;-61.378262
111.030579;-61.610378
111.367035;-64.861900
111.703491;-63.677025
112.039948;-63.022522
112.376404;-62.276711
112.712860;-60.542080
113.049316;-56.319664
113.385773;-57.494175
113.722229;-60.644485
114.058685;-63.414330
114.395142;-58.763538
114.731598;-58.900963
115.068054;-60.130482
115.404510;-58.380604
115.740967;-60.261383
116.077423;-59.793404
116.413879;-60.357166
116.750336;-59.430370
117.086792;-59.117661
117.423248;-57.086658
117.759705;-57.404980
118.096161;-64.268867
118.432617;-59.605385
118.769073;-58.771896
119.105530;-63.863564
119.441986;-60.251556
119.778442;-59.516769
120.114899;-60.765892
120.451355;-65.859055
120.787811;-61.873215
121.124268;-58.766479
121.460724;-58.627113
121.797180;-61.021564
122.133636;-59.964371
122.470093;-63.831493
122.806549;-62.421360
123.143005;-62.014782
123.479462;-62.558365
123.815918;-62.576378
124.152374;-62.611897
124.488831;-61.416389
124.825287;-57.119442
125.161743;-56.203056
125.498199;-61.786671
125.834656;-59.073185
126.171112;-55.264629
126.507568;-55.825684
126.844025;-55.340034
127.180481;-62.137466
127.516937;-61.043694
127.853394;-55.024483
128.189850;-50.549675
128.526306;-49.054340
128.862762;-49.641815
129.199219;-47.984280
129.535675;-50.161621
129.872131;-55.661419
130.208588;-52.619427
130.545044;-52.191811
130.881500;-53.820625
131.217957;-52.432850
131.554413;-48.196842
131.890869;-44.031620
132.227325;-43.002167
132.563782;-45.204762
132.900238;-50.086784
133.236694;-46.769917
133.573151;-44.913406
133.909607;-46.457214
134.246063;-51.116421
134.582520;-53.071514
134.918976;-50.136852
135.255432;-48.201843
135.591888;-46.826107
135.928345;-49.056557
136.264801;-50.760746
136.601257;-49.535492
136.937714;-47.307552
137.274170;-46.801094
137.610626;-47.754768
137.947083;-46.938374
138.283539;-42.694912
